GO.ID,Term,Annotated,Significant,Expected,p.value,p.adj
GO:0090630,activation of GTPase activity,28,6,0.49,7.2e-06,0.030312
GO:0043113,receptor clustering,12,4,0.21,1.0e-04,0.196466666666667
GO:0007630,jump response,7,3,0.12,0.00017,0.196466666666667
GO:0042059,negative regulation of epidermal growth ...,33,5,0.58,0.00025,0.196466666666667
GO:0031623,receptor internalization,8,3,0.14,0.00028,0.196466666666667
GO:0097120,receptor localization to synapse,8,3,0.14,0.00028,0.196466666666667
GO:0007520,myoblast fusion,53,6,0.93,0.00085,0.4683625
GO:0097090,presynaptic membrane organization,11,3,0.19,0.00089,0.4683625
GO:0008016,regulation of heart contraction,29,4,0.51,0.00164,0.651442105263158
GO:0045433,male courtship behavior veined wing gen...,14,3,0.24,0.00166,0.651442105263158
GO:0016203,muscle attachment,41,5,0.72,0.00219,0.651442105263158
GO:0045434,negative regulation of female receptivit...,16,3,0.28,0.00249,0.651442105263158
GO:0007608,sensory perception of smell,128,8,2.24,0.00277,0.651442105263158
GO:0007391,dorsal closure,108,7,1.89,0.00283,0.651442105263158
GO:2000289,regulation of photoreceptor cell axon gu...,5,2,0.09,0.00294,0.651442105263158
GO:0051496,positive regulation of stress fiber asse...,5,2,0.09,0.00294,0.651442105263158
GO:0007205,protein kinase C-activating G protein-co...,5,2,0.09,0.00294,0.651442105263158
GO:0051928,positive regulation of calcium ion trans...,5,2,0.09,0.00294,0.651442105263158
GO:0051899,membrane depolarization,5,2,0.09,0.00294,0.651442105263158
GO:0045214,sarcomere organization,35,4,0.61,0.00311,0.654655
GO:0007271,synaptic transmission cholinergic,18,3,0.31,0.00354,0.699731034482759
GO:0016200,synaptic target attraction,6,2,0.1,0.00436,0.699731034482759
GO:0046834,lipid phosphorylation,6,2,0.1,0.00436,0.699731034482759
GO:1900242,regulation of synaptic vesicle endocytos...,6,2,0.1,0.00436,0.699731034482759
GO:0007298,border follicle cell migration,124,8,2.17,0.00446,0.699731034482759
GO:0006807,nitrogen compound metabolic process,4660,81,81.49,0.00453,0.699731034482759
GO:0051017,actin filament bundle assembly,34,6,0.59,0.00463,0.699731034482759
GO:0035556,intracellular signal transduction,648,21,11.33,0.00470,0.699731034482759
GO:0000132,establishment of mitotic spindle orienta...,20,3,0.35,0.00482,0.699731034482759
GO:0007266,Rho protein signal transduction,53,5,0.93,0.00544,0.746655882352941
GO:0001738,morphogenesis of a polarized epithelium,118,5,2.06,0.00596,0.746655882352941
GO:0001941,postsynaptic membrane organization,14,3,0.24,0.00598,0.746655882352941
