geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
amd,FBgn0000075,control - up,0.432505914251698,0.0788252782086824,127,0.245571050491025,0.619440778012372,5.48689359657799,6.36003749665548e-07
AnxB9,FBgn0000083,control - up,0.169886138187947,0.0316751232895592,127,0.094768295393146,0.245003980982749,5.36339311562982,1.11394602975157e-06
bw,FBgn0000241,control - up,-0.325169070584799,0.0660450703284789,127,-0.48179555519083,-0.168542585978768,-4.92344196118729,7.70861599785899e-06
cl,FBgn0000318,control - up,-0.206850663810284,0.0477943200924129,127,-0.320195328339804,-0.0935059992807633,-4.32793401831697,8.92009716952913e-05
egl,FBgn0000562,control - up,-0.0914640885797734,0.0277369950003918,128,-0.157236539309419,-0.0256916378501278,-3.29754858370496,0.00359260749062362
Pfk,FBgn0003071,control - up,0.10697851805698,0.0415255880706382,127,0.00850020849724788,0.205456827616712,2.57620717796943,0.0297548535423802
sesB,FBgn0003360,control - up,0.153226422094534,0.0488964623763514,127,0.0372680171206413,0.269184827068427,3.13369136840954,0.00603509739317198
slgA,FBgn0003423,control - up,0.131942741484564,0.045512883790707,127,0.0240085238818395,0.239876959087288,2.89901958512029,0.0121902003284169
sw,FBgn0003654,control - up,0.159859803368848,0.0501902132087151,127,0.0408332565363512,0.278886350201345,3.18507918474213,0.00514360393886903
tud,FBgn0003891,control - up,-0.154098154203763,0.0494474082596501,127,-0.271363132347767,-0.0368331760597604,-3.11640507819113,0.00636548530397529
Hrb87F,FBgn0004237,control - up,-0.0852090458603974,0.0252953434716772,127,-0.145197182827564,-0.0252209088932312,-3.36856646978543,0.00285838872410038
fln,FBgn0005633,control - up,-0.779350809659212,0.271203961129091,127,-1.42251346860734,-0.136188150711089,-2.87367045235835,0.0131166784314297
wdn,FBgn0005642,control - up,0.229196619075531,0.0579697389818264,127,0.0917208561594682,0.366672381991594,3.95372867121904,0.000371755855995914
Vha55,FBgn0005671,control - up,0.108939476040675,0.0284833196861717,127,0.0413910245034652,0.176487927577884,3.82467624002279,0.000595226762300283
Nmdmc,FBgn0010222,control - up,0.53307720600185,0.143948323427259,127,0.1917024485641,0.8744519634396,3.70325401025756,0.00091716303412015
