geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
amd,FBgn0000075,down - control,-0.292652149701422,0.0784736473148952,127,-0.478753117601301,-0.106551181801542,-3.7293048012294,0.000836645837360872
AnxB9,FBgn0000083,down - control,-0.16365284188704,0.0315630939363779,127,-0.238505006052472,-0.0888006777216075,-5.18494296588657,2.47077081549918e-06
Argk1,FBgn0000116,down - control,-0.207703138058622,0.0466472610896071,127,-0.318327541736703,-0.0970787343805418,-4.4526330851373,5.43535184395205e-05
bw,FBgn0000241,down - control,0.237473882120978,0.065943939082649,127,0.0810872311836735,0.393860533058283,3.60114796635589,0.00130865620818443
cl,FBgn0000318,down - control,0.238085606101563,0.047657817270176,127,0.12506465925573,0.351106552947395,4.99573039092068,5.64871657249277e-06
Dfd,FBgn0000439,down - control,-0.313834760212126,0.0669786208132954,127,-0.472675168278483,-0.154994352145769,-4.68559603648675,2.10096234701806e-05
egl,FBgn0000562,down - control,0.135191931971561,0.0276380941072565,128,0.0696540039117562,0.200729860031366,4.8915070426678,8.76910609859394e-06
MsrA,FBgn0000565,down - control,0.280804722252236,0.0774728325722806,127,0.0970771956114538,0.464532248893018,3.62455731807987,0.00120703361889918
gt,FBgn0001150,down - control,-0.275130452686887,0.0670921771139526,127,-0.434240160552432,-0.116020744821343,-4.10078290080813,0.000214474321592939
ImpE3,FBgn0001255,down - control,0.630708335992297,0.143611058563609,127,0.29013340524429,0.971283266740304,4.39178112257239,6.93000239554431e-05
klar,FBgn0001316,down - control,0.169394585350513,0.0389972943910519,127,0.0769121472330511,0.261877023467974,4.34375225244809,8.38125826048142e-05
Mst87F,FBgn0002862,down - control,1.46642632356391,0.338003296087579,127,0.664848434583743,2.26800421254408,4.33849711093927,8.5567082918514e-05
Pfk,FBgn0003071,down - control,-0.161589739291737,0.041395752789378,127,-0.259760143301812,-0.0634193352816626,-3.90353426144725,0.000447049013209577
pwn,FBgn0003174,down - control,-0.157630986797938,0.0529997291903801,127,-0.283320326318278,-0.0319416472775988,-2.97418475916571,0.00977973829707446
rut,FBgn0003301,down - control,-0.221173838218347,0.0532843973471109,127,-0.347538270859888,-0.0948094055768055,-4.15081804862223,0.000177290246931805
sesB,FBgn0003360,down - control,-0.190245287250952,0.0488365549241713,127,-0.306061621157466,-0.0744289533444382,-3.89555093610405,0.000460284022985591
slgA,FBgn0003423,down - control,-0.186379843379463,0.0453971334122613,127,-0.294039557907581,-0.078720128851346,-4.10554212062043,0.000210639826396686
spn-A,FBgn0003479,down - control,-0.177215255943893,0.0497552276856183,127,-0.295210230654529,-0.0592202812332564,-3.56174143275233,0.0014980704834151
tud,FBgn0003891,down - control,0.210870781738691,0.0493753491633096,127,0.093776692396647,0.327964871080736,4.27077044136405,0.000111581838620811
Hrb87F,FBgn0004237,down - control,0.106494164566966,0.0252358812913322,127,0.0466470427009747,0.166341286432958,4.21995028973068,0.000135918018650094
