geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
MsrA,FBgn0000565,down - up,0.215519645378177,0.0774525372889601,127,0.0318402491862655,0.399199041570089,2.78260277741601,0.0169900709914743
gt,FBgn0001150,down - up,-0.17032486420763,0.0670640206741664,127,-0.329367798820291,-0.0112819295949685,-2.53973535280804,0.0327264289736839
klar,FBgn0001316,down - up,0.109951061358949,0.0389837149295982,127,0.0175008270577567,0.202401295660142,2.82043570135666,0.0152713695260587
Mst87F,FBgn0002862,down - up,1.04227302663404,0.337932909370234,127,0.240862060393842,1.84368399287424,3.08426021181661,0.00702426196440664
pwn,FBgn0003174,down - up,-0.222742296226827,0.0529594400036571,127,-0.348336089574641,-0.097148502879013,-4.20590354073694,0.000143494145313339
Rh2,FBgn0003248,down - up,0.493880686678675,0.113603432844251,127,0.224469113080883,0.763292260276466,4.34740988290187,8.26118743102455e-05
rut,FBgn0003301,down - up,-0.144306842716003,0.0532634009330257,127,-0.270621482170693,-0.017992203261314,-2.70930583079847,0.0208178075215703
sw,FBgn0003654,down - up,0.189399844317714,0.0501086081845592,127,0.070566824541758,0.308232864093669,3.77978657120388,0.000699232210812806
Ptp4E,FBgn0004368,down - up,0.139182416230166,0.0303002582829045,127,0.0673250782955939,0.211039754164739,4.5934399281571,3.07170569644466e-05
Nmdmc,FBgn0010222,down - up,0.686079615644387,0.143700464807351,127,0.34529265717668,1.02686657411209,4.77437297481372,1.45043840443781e-05
α-Man-IIa,FBgn0011740,down - up,0.0680750216855773,0.0246633592095447,127,0.00958564114053068,0.126564402230624,2.76016827664061,0.018088953037756
Pglym78,FBgn0014869,down - up,-0.120423712979855,0.035094885313318,127,-0.203651552498206,-0.0371958734615046,-3.43137502529909,0.00232389884296225
NetA,FBgn0015773,down - up,0.654124703265842,0.179170009460326,127,0.229221397250292,1.07902800928139,3.6508604606101,0.00110171347110533
Ipp,FBgn0016672,down - up,-0.253914011832979,0.0519056537485612,127,-0.377008741498357,-0.130819282167601,-4.89183727581925,8.82315367023434e-06
Lcp65Ab2,FBgn0020643,down - up,2.02741069166177,0.742090799972102,127,0.26753561423319,3.78728576909035,2.73202509954036,0.0195567144630375
caps,FBgn0023095,down - up,0.107958900603357,0.0396728998053402,127,0.0138742581049399,0.202043543101774,2.72122534861505,0.020147467230622
Pp4-19C,FBgn0023177,down - up,-0.145493537327645,0.0292419753570136,127,-0.214841147684118,-0.0761459269711712,-4.97550304147795,6.16389647389859e-06
Lip1,FBgn0023496,down - up,-1.04758912969516,0.243691576981645,127,-1.62550591956156,-0.469672339828765,-4.29883191971822,9.99948627721237e-05
wit,FBgn0024179,down - up,-0.0857708741712,0.0333906698744872,127,-0.164957151285758,-0.00658459705664141,-2.56870780052049,0.0303458735170981
Srp54,FBgn0024285,down - up,-0.176217947471521,0.0461207599517798,127,-0.285593748915569,-0.0668421460274729,-3.82079453278221,0.000603606984041827
CG2680,FBgn0024995,down - up,-0.338811605948687,0.0657387487212086,127,-0.494711646078742,-0.182911565818633,-5.15391017534503,2.83325272343316e-06
Mipp1,FBgn0026061,down - up,-0.149991572798056,0.0334482437833006,127,-0.229314386960688,-0.0706687586354234,-4.48428843588315,4.78582691493257e-05
tyf,FBgn0026083,down - up,-0.113552011265797,0.0236406569615153,127,-0.169616044133707,-0.0574879783978875,-4.8032510877616,1.28450739965702e-05
Septin5,FBgn0026361,down - up,-0.788373676083412,0.127306913357519,127,-1.09028317827732,-0.486464173889501,-6.192701207588,2.26638896538844e-08
Grip75,FBgn0026431,down - up,-0.349018782030432,0.0507596390609281,127,-0.469395727447295,-0.22864183661357,-6.87591142268558,7.46934514239683e-10
CG5867,FBgn0027586,down - up,-0.26874359723981,0.0716672916143331,127,-0.438703230728883,-0.098783963750738,-3.74987795947438,0.000777822080382684
SMC2,FBgn0027783,down - up,-0.285178676836175,0.080056334565463,127,-0.47503300193674,-0.0953243517356088,-3.56222500548012,0.00149559778132169
JhI-21,FBgn0028425,down - up,0.33781705754189,0.0679305410315422,127,0.176719162025404,0.498914953058375,4.97297757992287,6.23133780497387e-06
Atf3,FBgn0028550,down - up,-0.178887506387225,0.0567475252674826,127,-0.313464778370311,-0.0443102344041393,-3.1523402217811,0.00569635739755936
Upf2,FBgn0029992,down - up,0.137645918402232,0.037808341862993,127,0.047983092012143,0.227308744792321,3.64062298476413,0.00114163387597166
CG12065,FBgn0030052,down - up,-0.143414756185053,0.0323814290480805,128,-0.220200505563827,-0.066629006806279,-4.42891992110998,5.94483592233352e-05
CG2961,FBgn0030187,down - up,-0.370336302011707,0.114923005680969,127,-0.64287725458614,-0.0977953494372736,-3.22247316642393,0.00457286081563946
SmydA-4,FBgn0030257,down - up,-0.198589061672417,0.0490465287894407,127,-0.314903350508992,-0.0822747728358426,-4.04899320245416,0.000260745031546605
