geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Dr,FBgn0000492,socArena - vial,0.236822450995333,0.0517018339467955,127,0.134513852001452,0.339131049989215,4.58054256332645,1.09225370179949e-05
eEF2,FBgn0000559,socArena - vial,-0.111226800635866,0.0248933746916446,127,-0.16048629676037,-0.0619673045113628,-4.4681286492345,1.72576915675598e-05
h,FBgn0001168,socArena - vial,0.288485716982201,0.0407339213194676,127,0.20788063775019,0.369090796214212,7.08219851262707,8.62475930043297e-11
Hsp83,FBgn0001233,socArena - vial,-0.208655557613387,0.035583252151171,128,-0.279063101387338,-0.138248013839436,-5.86386979826745,3.62591848789174e-08
Jra,FBgn0001291,socArena - vial,-0.0992319827871528,0.018224114472182,127,-0.135294216507367,-0.0631697490669383,-5.44509215735142,2.5755511845833e-07
kni,FBgn0001320,socArena - vial,0.159823574898771,0.0329814253030579,127,0.0945592862267375,0.225087863570805,4.84586622410017,3.60674649726262e-06
Hlc,FBgn0001565,socArena - vial,-0.0763055300824581,0.0181919278234882,127,-0.112304072233481,-0.0403069879314354,-4.19447190109986,5.09365893237786e-05
E(spl)mβ-HLH,FBgn0002733,socArena - vial,0.340528385759972,0.0508001760321253,127,0.24000400506126,0.441052766458685,6.70329145207345,5.99199273862935e-10
raw,FBgn0003209,socArena - vial,-0.084546133147297,0.015572828429643,127,-0.11536195025445,-0.0537303160401437,-5.42908011407631,2.77015396420102e-07
tld,FBgn0003719,socArena - vial,-0.148056644894041,0.0360003184975475,127,-0.219294778392512,-0.0768185113955695,-4.11264819515768,6.97798089600303e-05
FBgn0004364,FBgn0004364,socArena - vial,0.155355653713421,0.0226459161178157,127,0.110543472518245,0.200167834908597,6.86020618045131,2.69963765800113e-10
bap,FBgn0004862,socArena - vial,-0.559300427430031,0.0861992463687071,127,-0.729873180021092,-0.388727674838971,-6.48846075797102,1.76149494015642e-09
Ets21C,FBgn0005660,socArena - vial,-0.402082296203744,0.0742867250390633,127,-0.549082318880141,-0.255082273527346,-5.41257264998976,2.98580344605249e-07
Jheh1,FBgn0010053,socArena - vial,-0.217613476985097,0.0463135756049644,127,-0.309259685114138,-0.125967268856057,-4.69869739363787,6.70093297945247e-06
