gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0261446,FBtr0070106,control - up,0.391812074353909,0.0705635956863437,268,5.55260925329713,1.00773263722598e-06
FBgn0023513,FBtr0339600,control - up,1.49781862107973,0.304591944488478,269,4.91745972991872,2.24599217547583e-05
FBgn0000667,FBtr0310657,control - up,-0.151560393764319,0.046549582091215,268,-3.25589160966757,0.0159563004406105
FBgn0044047,FBtr0333731,control - up,-0.48586540756481,0.151735487785664,405,-3.20205519918402,0.0390349913060892
FBgn0029663,FBtr0114487,control - up,0.339590015931289,0.0842711523914628,268,4.02973029671885,0.0010192801585942
FBgn0029685,FBtr0332387,control - up,0.512702150021165,0.134950715712514,404,3.7991806661728,0.00521560860076054
FBgn0029709,FBtr0343566,control - up,-0.251392301223675,0.0715892820795513,268,-3.51159131536371,0.0068582004465485
FBgn0029768,FBtr0070778,control - up,0.262463335436199,0.0848898889598888,268,3.09180915008871,0.0264667634338122
FBgn0053080,FBtr0070845,control - up,0.804277616275918,0.200167024425967,540,4.01803253349248,0.00383294969276904
FBgn0029864,FBtr0339771,control - up,0.964964496297354,0.195737433726466,540,4.92989244788939,6.96991149939929e-05
FBgn0029969,FBtr0071143,control - up,-0.310383520774623,0.0845155169686828,268,-3.67250336869661,0.00389858850820779
FBgn0025864,FBtr0071220,control - up,0.229810058847348,0.0664590617086248,268,3.4579190999551,0.00823324709530482
FBgn0030051,FBtr0071231,control - up,-1.16623099977575,0.278262309371877,404,-4.19112096930514,0.00112761583057264
FBgn0052685,FBtr0308584,control - up,-0.199166523588597,0.0541187877416063,404,-3.6801734092702,0.00804411596016608
FBgn0002715,FBtr0071761,control - up,0.634354640274819,0.155635613237807,268,4.07589642934451,0.000849789437199489
FBgn0034693,FBtr0336637,control - up,-0.19128503303749,0.0574203471798078,540,-3.33131098003455,0.0430569600952736
FBgn0034693,FBtr0336638,control - up,-0.252660162900744,0.0580562717350523,540,-4.35198739687925,0.000973775177542269
FBgn0034860,FBtr0306150,control - up,0.591411578778788,0.156967621392845,404,3.76772976191474,0.00585705331483932
FBgn0261794,FBtr0072139,control - up,0.599271554890245,0.127957893646516,540,4.68334963801246,0.000223332738215842
FBgn0010435,FBtr0343508,control - up,-0.285877739729759,0.0714630238940838,404,-4.00035884506458,0.00242323251694554
