gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0261446,FBtr0070106,down - control,-0.323866437490271,0.0701938275237599,268,-4.61388770089001,8.91561461978663e-05
FBgn0025638,FBtr0070122,down - control,0.157050167518068,0.0487606530994535,269,3.22083806379181,0.0178143791260451
FBgn0000667,FBtr0310657,down - control,0.200567540952143,0.0463852099031115,268,4.32395458317606,0.000309777350078977
FBgn0023511,FBtr0332580,down - control,-0.281591653292194,0.0842523960218318,405,-3.34223911233607,0.0252553404423307
FBgn0026088,FBtr0331385,down - control,-0.227352011533657,0.049312395756911,268,-4.610443440112,9.05216914626195e-05
FBgn0044047,FBtr0333731,down - control,0.882024132170115,0.150225791446854,405,5.87132291782368,3.22458722168406e-07
FBgn0003371,FBtr0331753,down - control,-0.108855018215702,0.0237289486172617,268,-4.58743537151556,0.00010017140938734
FBgn0003068,FBtr0332311,down - control,0.370385499603544,0.127152281928236,268,2.91292845072641,0.0444434905605943
FBgn0040396,FBtr0070508,down - control,0.56310412048953,0.118335832619996,268,4.75852586678281,4.66883947438657e-05
FBgn0029663,FBtr0114487,down - control,-0.287550770349969,0.0841098592881329,268,-3.41875224597528,0.00939060798162294
FBgn0029709,FBtr0343566,down - control,0.292838959215436,0.0713169286767193,268,4.10616335628921,0.000753501564857095
FBgn0011760,FBtr0070706,down - control,0.290984903842076,0.078478684393562,268,3.70782086996794,0.00343251667505806
FBgn0029768,FBtr0070778,down - control,-0.296040257803939,0.0849886422615998,268,-3.48329200145016,0.00755456690741318
FBgn0029843,FBtr0070872,down - control,0.711411726638009,0.170288019481909,540,4.1776968738167,0.00202040333475817
FBgn0029893,FBtr0300772,down - control,-0.493077244343076,0.114248894379019,268,-4.31581633260535,0.000320474134880788
FBgn0029969,FBtr0071143,down - control,0.292602188296265,0.0843355018539296,268,3.46950195189514,0.00791680733390321
FBgn0025864,FBtr0071220,down - control,-0.276703162034104,0.0671108639986286,268,-4.12307554317522,0.000704285013426342
FBgn0261710,FBtr0307488,down - control,0.90958928790239,0.248408807258628,404,3.66166279666317,0.00859303629163599
