gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0023513,FBtr0339600,down - up,1.72310347360091,0.302883062789824,269,5.68900570976,4.96434497065934e-07
FBgn0040396,FBtr0070508,down - up,0.430098319299787,0.117741961258137,268,3.65288903551421,0.00418208163158762
FBgn0003285,FBtr0343758,down - up,-0.21972143156295,0.0707219810471487,268,-3.1068336648611,0.0252987051804251
FBgn0053080,FBtr0070845,down - up,1.01523606915789,0.199000040263048,540,5.10168775752961,2.99471763997028e-05
FBgn0029843,FBtr0070872,down - up,0.614515459968914,0.171549552790969,540,3.58214550822929,0.0190182920850268
FBgn0029843,FBtr0343930,down - up,0.667081340496768,0.174495891834036,540,3.82290570560385,0.00806836017450807
FBgn0029893,FBtr0300772,down - up,-0.702731884563247,0.113710008591491,268,-6.18003545394009,3.55152309783335e-08
FBgn0030051,FBtr0071231,down - up,-1.33939867203743,0.276832969992567,404,-4.83829173986534,6.49797212362024e-05
FBgn0052698,FBtr0346170,down - up,0.713419264443471,0.201505985112044,540,3.54043709444554,0.0219070028521208
FBgn0052694,FBtr0071410,down - up,0.588932753667962,0.140263559178918,812,4.19875808881142,0.00388577961283165
FBgn0052694,FBtr0307382,down - up,-0.483960893709378,0.133030040898483,812,-3.63798199595155,0.0317935382764473
FBgn0052694,FBtr0340479,down - up,0.475110285248084,0.132491955182581,812,3.58595572533711,0.0378364586324885
FBgn0034693,FBtr0336638,down - up,-0.248944589587799,0.0579401371717533,540,-4.29658267549223,0.00123227985370367
FBgn0053200,FBtr0307213,down - up,-0.623841447528202,0.15654208465459,268,-3.98513568351098,0.00121283446872256
FBgn0035165,FBtr0345588,down - up,0.251387300389948,0.0684994342858672,268,3.66991790531932,0.00393491150936576
FBgn0052333,FBtr0100256,down - up,-1.29877613004178,0.185582930856472,268,-6.99835983863324,3.11226600047121e-10
FBgn0035244,FBtr0072754,down - up,0.182367996041133,0.054864123585315,268,3.32399360681569,0.0128261960102762
FBgn0035252,FBtr0072762,down - up,0.216294783638392,0.0737706550854102,268,2.93198946638023,0.0421267675885445
FBgn0035359,FBtr0333445,down - up,0.28840418295499,0.100289697285218,268,2.87571097293061,0.0492821830045448
FBgn0014388,FBtr0073146,down - up,0.616476981324368,0.085731511177576,268,7.19078636147515,9.66926538836788e-11
FBgn0035464,FBtr0073150,down - up,-0.151275950277082,0.0417702849561544,269,-3.62161642985854,0.00467100826879807
FBgn0001624,FBtr0112812,down - up,-0.534042153457876,0.0929974121820427,676,-5.74254853901189,1.46172819981416e-06
FBgn0030306,FBtr0340294,down - up,0.246049704831487,0.077763572370736,404,3.16407409446741,0.0437465944372925
FBgn0030311,FBtr0433504,down - up,-0.987553874166788,0.228741807899433,269,-4.31733002040873,0.00031808413192902
FBgn0000259,FBtr0308084,down - up,0.1926352408771,0.0440996191878319,541,4.36818377176039,0.000908189542710547
FBgn0030418,FBtr0346128,down - up,-0.433367043775428,0.114832127916313,404,-3.77391808058504,0.00572537321518918
FBgn0086674,FBtr0310432,down - up,0.348112889399618,0.1125747686682,268,3.09228163218027,0.0264293209796045
FBgn0030510,FBtr0346119,down - up,0.633609085613716,0.120565932250325,404,5.25529122354551,8.48468622216547e-06
FBgn0052594,FBtr0310270,down - up,0.666959025931207,0.111310354309822,404,5.99188664941977,1.64560529869462e-07
FBgn0027601,FBtr0303294,down - up,0.13606990894066,0.0414580787213798,268,3.28210841257555,0.0146781834177481
FBgn0004924,FBtr0308699,down - up,0.190652204546482,0.0564322236422312,405,3.37842800161797,0.022483764181215
FBgn0030653,FBtr0074045,down - up,1.68975179939705,0.433674989335757,268,3.89635519905165,0.00170529959131205
FBgn0030694,FBtr0340114,down - up,-0.274191050075311,0.0933202173996429,269,-2.93817414613481,0.0413878706074974
FBgn0052581,FBtr0074184,down - up,-0.756143482657442,0.212071463736803,268,-3.56551263113775,0.00569157720066504
FBgn0262734,FBtr0074281,down - up,0.1688997721421,0.0335618008342095,268,5.03250028138957,1.31082777516944e-05
FBgn0030761,FBtr0310319,down - up,1.3361131421015,0.275078973160501,404,4.85719837743437,5.94418107968675e-05
FBgn0030802,FBtr0310520,down - up,0.526359697140918,0.106432325336756,268,4.94548714852836,1.97455714070482e-05
