geneID,geneName
FBgn0020238,14-3-3epsilon
FBgn0004907,14-3-3zeta
FBgn0010340,140up
FBgn0260793,2mit
FBgn0052016,4E-T
FBgn0004168,5-HT1A
FBgn0261929,5-HT2B
FBgn0004573,5-HT7
FBgn0035244,ABCB7
FBgn0039890,ABCD
FBgn0033246,ACC
FBgn0040508,ACXC
FBgn0040507,ACXD
FBgn0033983,ADPS
FBgn0262739,AGO1
FBgn0250816,AGO3
FBgn0267408,AOX1
FBgn0038349,AOX3
FBgn0034231,APC10
FBgn0261112,APP-BP1
FBgn0030343,ATP7
FBgn0259221,ATP8A
FBgn0037989,ATP8B
FBgn0035585,ATPsynCF6L
FBgn0010612,ATPsynG
FBgn0000015,Abd-B
FBgn0000017,Abl
FBgn0022710,Ac13E
FBgn0004852,Ac76E
FBgn0024150,Ac78C
FBgn0012034,AcCoAS
FBgn0010387,Acbp2
FBgn0250836,Acbp3
FBgn0000024,Ace
FBgn0033936,Achl
FBgn0028484,Ack
FBgn0263998,Ack-like
FBgn0020509,Acp62F
FBgn0263120,Acsl
FBgn0000046,Act87E
FBgn0000047,Act88F
FBgn0024913,Actbeta
FBgn0027493,AdSS
FBgn0263738,Ada2a
FBgn0286071,AdamTS-A
FBgn0029791,AdamTS-B
FBgn0036337,AdenoK
FBgn0036752,Adgf-A
FBgn0043025,Adgf-A2
FBgn0036751,Adgf-B
FBgn0038173,Adgf-C
FBgn0038172,Adgf-D
FBgn0022709,Adk1
FBgn0283494,Adk2
FBgn0039747,AdoR
FBgn0036043,Ae2
FBgn0038223,Afti
FBgn0020508,Ag5r2
FBgn0030421,Agpat1
FBgn0026718,Agpat2
FBgn0036623,Agpat3
FBgn0036622,Agpat4
FBgn0014455,Ahcy
FBgn0035371,AhcyL1
FBgn0027932,Akap200
FBgn0004552,Akh
FBgn0086254,Akr1B
FBgn0027094,AlaRS
FBgn0028962,AlaRS-m
FBgn0030122,Aladin
FBgn0020764,Alas
FBgn0012036,Aldh
FBgn0010548,Aldh-III
FBgn0036857,Aldh7A1
FBgn0035401,Alg2
FBgn0261238,Alh
FBgn0040505,Alk
FBgn0283479,Alp1
FBgn0035619,Alp10
FBgn0030661,Alp11
FBgn0038845,Alp5
FBgn0035620,Alp9
FBgn0027356,Amph
FBgn0030328,Amun
FBgn0012037,Ance
FBgn0032536,Ance-3
FBgn0033366,Ance-4
FBgn0011747,Ank
FBgn0261788,Ank2
FBgn0260642,Antp
FBgn0030749,AnxB11
FBgn0000083,AnxB9
FBgn0015589,Apc
FBgn0040281,Aplip1
FBgn0000108,Appl
FBgn0013750,Arf51F
FBgn0000116,Argk
FBgn0039889,Arl4
FBgn0038453,Arl6IP1
FBgn0031050,Arp10
FBgn0038576,Arp5
FBgn0011743,Arp53D
FBgn0000120,Arr1
FBgn0033062,Ars2
FBgn0038189,Art6
FBgn0038188,Art9
FBgn0050372,Asap
FBgn0034075,Asph
FBgn0266429,AstA-R1
FBgn0032336,AstC
FBgn0036790,AstC-R1
FBgn0036789,AstC-R2
FBgn0261823,Asx
FBgn0052343,Atac3
FBgn0028550,Atf3
FBgn0260945,Atg1
FBgn0036255,Atg12
FBgn0044452,Atg2
FBgn0031298,Atg4a
FBgn0029943,Atg5
FBgn0034366,Atg7
FBgn0034110,Atg9
FBgn0052446,Atox1
FBgn0012042,AttA
FBgn0038530,AttD
FBgn0041188,Atx2
FBgn0030410,Aven
FBgn0013751,Awh
FBgn0026597,Axn
FBgn0023407,B4
FBgn0004587,B52
FBgn0033578,BBS4
FBgn0034622,BBS9
FBgn0038857,Bdbt
FBgn0000183,BicD
FBgn0024491,Bin1
FBgn0035625,Blimp-1
FBgn0036199,Bmcp
FBgn0037205,BoYb
FBgn0033155,Br140
FBgn0086694,Bre1
FBgn0038499,Brf
FBgn0000228,Bsg25D
FBgn0263108,BtbVII
FBgn0040491,Buffy
FBgn0265598,Bx
FBgn0004863,C15
FBgn0259228,C3G
FBgn0021742,C901
FBgn0027844,CAH1
FBgn0027843,CAH2
FBgn0039838,CAH6
FBgn0039486,CAH9
FBgn0033504,CAP
FBgn0029962,CARPA
FBgn0052698,CARPB
FBgn0031979,CCDC53
FBgn0050106,CCHa1-R
FBgn0033058,CCHa2-R
FBgn0259231,CCKLR-17D1
FBgn0030954,CCKLR-17D3
FBgn0032444,CCT4
FBgn0027329,CCT6
FBgn0039774,CDase
FBgn0037972,CG10005
FBgn0039590,CG10011
FBgn0038028,CG10035
