geneID,geneName
FBgn0010340,140up
FBgn0260793,2mit
FBgn0004168,5-HT1A
FBgn0087012,5-HT2A
FBgn0261929,5-HT2B
FBgn0004573,5-HT7
FBgn0028965,A16
FBgn0032839,AANATL3
FBgn0031170,ABCA
FBgn0033246,ACC
FBgn0040508,ACXC
FBgn0040507,ACXD
FBgn0033983,ADPS
FBgn0262739,AGO1
FBgn0031392,AIF
FBgn0052626,AMPdeam
FBgn0267408,AOX1
FBgn0038349,AOX3
FBgn0030089,AP-1gamma
FBgn0264855,AP-2alpha
FBgn0034606,ASPP
FBgn0030343,ATP7
FBgn0037989,ATP8B
FBgn0019644,ATPsynB
FBgn0000015,Abd-B
FBgn0020510,Abi
FBgn0000017,Abl
FBgn0022710,Ac13E
FBgn0023416,Ac3
FBgn0004852,Ac76E
FBgn0024150,Ac78C
FBgn0011273,Acam
FBgn0250836,Acbp3
FBgn0016122,Acer
FBgn0028484,Ack
FBgn0263198,Acn
FBgn0267327,Acp33A
FBgn0083936,Acp54A1
FBgn0263120,Acsl
FBgn0000667,Actn
FBgn0038467,AdSL
FBgn0027493,AdSS
FBgn0037661,Ada
FBgn0263738,Ada2a
FBgn0286071,AdamTS-A
FBgn0029791,AdamTS-B
FBgn0036142,Adck5
FBgn0036752,Adgf-A
FBgn0043025,Adgf-A2
FBgn0038173,Adgf-C
FBgn0038172,Adgf-D
FBgn0000055,Adh
FBgn0000056,Adhr
FBgn0038984,AdipoR
FBgn0283494,Adk2
FBgn0039747,AdoR
FBgn0037679,Aduk
FBgn0036043,Ae2
FBgn0005694,Aef1
FBgn0026718,Agpat2
FBgn0014455,Ahcy
FBgn0015011,AhcyL2
FBgn0000064,Ald1
FBgn0039425,Ald2
FBgn0012036,Aldh
FBgn0283479,Alp1
FBgn0032779,Alp12
FBgn0016123,Alp4
FBgn0038845,Alp5
FBgn0035620,Alp9
FBgn0027356,Amph
FBgn0032536,Ance-3
FBgn0033366,Ance-4
FBgn0261788,Ank2
FBgn0260642,Antp
FBgn0015589,Apc
FBgn0032136,Apoltp
FBgn0000108,Appl
FBgn0036111,Aps
FBgn0030088,Arfrp1
FBgn0037526,ArgRS-m
FBgn0000116,Argk
FBgn0011743,Arp53D
FBgn0000120,Arr1
FBgn0032329,Art8
FBgn0050372,Asap
FBgn0002069,AspRS
FBgn0015591,AstA
FBgn0039595,AstA-R2
FBgn0032336,AstC
FBgn0036790,AstC-R1
FBgn0032691,Atac2
FBgn0020762,Atet
FBgn0260945,Atg1
FBgn0039705,Atg16
FBgn0032935,Atg18b
FBgn0038325,Atg4b
FBgn0002921,Atpalpha
FBgn0013751,Awh
FBgn0026597,Axn
FBgn0000152,Axs
FBgn0261647,Axud1
FBgn0023407,B4
FBgn0035871,BI-1
FBgn0039560,BOD1
FBgn0011785,BRWD3
FBgn0033778,Balat
FBgn0260860,Bet5
FBgn0000182,BicC
FBgn0000183,BicD
FBgn0035625,Blimp-1
FBgn0036105,Blos4
FBgn0036199,Bmcp
FBgn0033155,Br140
FBgn0261822,Bsg
FBgn0003502,Btk29A
FBgn0029848,Btnd
FBgn0032600,BuGZ
FBgn0265598,Bx
FBgn0259228,C3G
FBgn0030056,CAH3
FBgn0033504,CAP
FBgn0052698,CARPB
FBgn0013759,CASK
FBgn0039007,CCAP
FBgn0039396,CCAP-R
FBgn0038199,CCHa1
FBgn0050106,CCHa1-R
FBgn0038147,CCHa2
FBgn0033058,CCHa2-R
FBgn0259231,CCKLR-17D1
FBgn0003676,CCT1
FBgn0037632,CCT7
FBgn0039596,CG10000
FBgn0039590,CG10011
FBgn0032785,CG10026
FBgn0038028,CG10035
FBgn0035724,CG10064
FBgn0034440,CG10073
FBgn0034644,CG10082
FBgn0036369,CG10089
FBgn0038032,CG10096
FBgn0038033,CG10097
FBgn0033933,CG10104
FBgn0039088,CG10164
FBgn0039084,CG10175
FBgn0039091,CG10182
FBgn0039094,CG10184
FBgn0038397,CG10185
FBgn0033970,CG10205
FBgn0032685,CG10211
FBgn0039108,CG10232
FBgn0032783,CG10237
FBgn0039104,CG10252
FBgn0032681,CG10283
FBgn0039107,CG10300
FBgn0039106,CG10301
FBgn0034655,CG10307
FBgn0260455,CG10332
FBgn0032690,CG10333
FBgn0034729,CG10344
FBgn0032707,CG10348
FBgn0035453,CG10357
FBgn0035452,CG10359
FBgn0039109,CG10365
FBgn0034731,CG10384
FBgn0032689,CG10413
FBgn0034638,CG10433
FBgn0034494,CG10444
FBgn0035679,CG10467
FBgn0035678,CG10469
FBgn0035656,CG10479
FBgn0032827,CG10481
FBgn0039311,CG10513
FBgn0034570,CG10543
FBgn0030034,CG10555
FBgn0035621,CG10591
FBgn0032717,CG10600
FBgn0032817,CG10631
FBgn0046302,CG10650
FBgn0036289,CG10657
FBgn0036287,CG10663
FBgn0032754,CG10700
FBgn0032752,CG10702
FBgn0032843,CG10730
FBgn0034420,CG10737
FBgn0010620,CG10939
FBgn0032857,CG10947
FBgn0032858,CG10949
FBgn0030073,CG10962
FBgn0036310,CG10969
FBgn0034464,CG11018
FBgn0039241,CG11089
FBgn0033174,CG11125
FBgn0039249,CG11168
FBgn0034705,CG11170
FBgn0034528,CG11180
FBgn0031139,CG11227
FBgn0034706,CG11275
FBgn0037070,CG11309
FBgn0039816,CG11317
FBgn0039818,CG11318
FBgn0031835,CG11319
FBgn0031856,CG11322
FBgn0035537,CG11342
FBgn0035546,CG11345
FBgn0035550,CG11349
FBgn0035557,CG11353
FBgn0035558,CG11357
FBgn0035490,CG1136
FBgn0040359,CG11380
FBgn0035300,CG1139
FBgn0024366,CG11409
FBgn0035359,CG1143
FBgn0035346,CG1146
FBgn0039749,CG11498
FBgn0039733,CG11504
FBgn0039864,CG11550
FBgn0086856,CG11555
FBgn0036212,CG11597
FBgn0033283,CG11635
FBgn0036196,CG11658
FBgn0038113,CG11668
FBgn0037572,CG11698
FBgn0029856,CG11700
FBgn0036170,CG11714
FBgn0037625,CG11768
FBgn0039252,CG11771
FBgn0038683,CG11779
FBgn0035299,CG11815
FBgn0033519,CG11825
FBgn0039616,CG11828
FBgn0031264,CG11835
FBgn0039272,CG11836
FBgn0039627,CG11837
FBgn0039628,CG11841
FBgn0039629,CG11842
FBgn0039630,CG11843
FBgn0039633,CG11873
FBgn0033538,CG11883
FBgn0039645,CG11898
FBgn0036678,CG11905
FBgn0034425,CG11906
FBgn0031638,CG11927
FBgn0039656,CG11951
FBgn0035234,CG12003
FBgn0035430,CG12009
FBgn0035429,CG12017
FBgn0035285,CG12025
FBgn0030098,CG12057
FBgn0030052,CG12065
FBgn0039808,CG12071
FBgn0030065,CG12075
FBgn0043458,CG12084
FBgn0035238,CG12104
FBgn0035241,CG12105
FBgn0030097,CG12115
FBgn0030109,CG12121
FBgn0030039,CG12123
FBgn0028504,CG12182
FBgn0260742,CG12213
FBgn0043796,CG12219
FBgn0036723,CG12229
FBgn0029810,CG12239
FBgn0039557,CG12259
FBgn0038057,CG12267
FBgn0039131,CG12268
FBgn0032620,CG12288
FBgn0039419,CG12290
FBgn0035134,CG1231
FBgn0033557,CG12325
FBgn0033323,CG12376
FBgn0038202,CG12402
FBgn0039552,CG12426
FBgn0038968,CG12499
FBgn0035171,CG12502
FBgn0039577,CG12516
FBgn0031064,CG12531
FBgn0030586,CG12539
FBgn0029930,CG12541
FBgn0037811,CG12592
FBgn0037941,CG12594
FBgn0040929,CG12659
FBgn0030721,CG12698
FBgn0030443,CG12715
FBgn0030459,CG12723
FBgn0035522,CG1273
