geneID,geneName
FBgn0010339,128up
FBgn0004907,14-3-3zeta
FBgn0004168,5-HT1A
FBgn0261929,5-HT2B
FBgn0004573,5-HT7
FBgn0040376,AANATL7
FBgn0033246,ACC
FBgn0040510,ACXA
FBgn0262739,AGO1
FBgn0250816,AGO3
FBgn0086346,ALiX
FBgn0023169,AMPKalpha
FBgn0034606,ASPP
FBgn0259221,ATP8A
FBgn0028342,ATPsyndelta
FBgn0020235,ATPsyngamma
FBgn0027780,Aasdh
FBgn0031851,Aatf
FBgn0036372,Abp1
FBgn0022710,Ac13E
FBgn0004852,Ac76E
FBgn0024150,Ac78C
FBgn0031992,Acbp1
FBgn0000024,Ace
FBgn0033936,Achl
FBgn0014454,Acp1
FBgn0023415,Acp32CD
FBgn0267327,Acp33A
FBgn0263597,Acp98AB
FBgn0000044,Act57B
FBgn0000667,Actn
FBgn0029791,AdamTS-B
FBgn0026086,Adar
FBgn0028658,Adat1
FBgn0284249,Adf1
FBgn0036752,Adgf-A
FBgn0043025,Adgf-A2
FBgn0033952,Adgf-E
FBgn0038984,AdipoR
FBgn0042094,Adk3
FBgn0039747,AdoR
FBgn0037679,Aduk
FBgn0030421,Agpat1
FBgn0026718,Agpat2
FBgn0027932,Akap200
FBgn0086254,Akr1B
FBgn0010379,Akt1
FBgn0027094,AlaRS
FBgn0000064,Ald1
FBgn0010548,Aldh-III
FBgn0011297,Alg3
FBgn0030661,Alp11
FBgn0027356,Amph
FBgn0012037,Ance
FBgn0032535,Ance-2
FBgn0032536,Ance-3
FBgn0261788,Ank2
FBgn0260642,Antp
FBgn0000083,AnxB9
FBgn0026598,Apc2
FBgn0026150,ApepP
FBgn0032136,Apoltp
FBgn0000108,Appl
FBgn0038893,Archease
FBgn0038453,Arl6IP1
FBgn0031050,Arp10
FBgn0050372,Asap
FBgn0014006,Ask1
FBgn0266429,AstA-R1
FBgn0039595,AstA-R2
FBgn0036789,AstC-R2
FBgn0260945,Atg1
FBgn0039705,Atg16
FBgn0044452,Atg2
FBgn0264325,Atg6
FBgn0002921,Atpalpha
FBgn0041188,Atx2
FBgn0013751,Awh
FBgn0000152,Axs
FBgn0004854,B-H2
FBgn0023407,B4
FBgn0039558,BCAS2
FBgn0039560,BOD1
FBgn0260960,Baldspot
FBgn0042085,Bap170
FBgn0000182,BicC
FBgn0000183,BicD
FBgn0039654,Brd8
FBgn0261822,Bsg
FBgn0000228,Bsg25D
FBgn0263108,BtbVII
FBgn0003502,Btk29A
FBgn0029848,Btnd
FBgn0040491,Buffy
FBgn0038901,Burs
FBgn0004863,C15
