geneID,geneName
FBgn0052016,4E-T
FBgn0267408,AOX1
FBgn0012034,AcCoAS
FBgn0027493,AdSS
FBgn0036337,AdenoK
FBgn0038173,Adgf-C
FBgn0038172,Adgf-D
FBgn0011747,Ank
FBgn0036789,AstC-R2
FBgn0044452,Atg2
FBgn0034366,Atg7
FBgn0034110,Atg9
FBgn0013751,Awh
FBgn0036369,CG10089
FBgn0032730,CG10431
FBgn0036334,CG11267
FBgn0036342,CG11279
FBgn0036264,CG11529
FBgn0039645,CG11898
FBgn0033557,CG12325
FBgn0033732,CG13157
FBgn0033720,CG13160
FBgn0031036,CG14220
FBgn0038207,CG14356
FBgn0029895,CG14441
FBgn0037171,CG14459
FBgn0037829,CG14691
FBgn0035410,CG14964
FBgn0031088,CG15322
FBgn0031602,CG15431
FBgn0034567,CG15651
FBgn0033454,CG1671
FBgn0039897,CG1674
FBgn0029941,CG1677
FBgn0034483,CG16894
FBgn0036391,CG17364
FBgn0083978,CG17672
FBgn0029647,CG17959
FBgn0032551,CG18636
FBgn0040964,CG18661
FBgn0042138,CG18815
FBgn0050043,CG30043
FBgn0050110,CG30110
FBgn0050177,CG30177
FBgn0051997,CG31997
FBgn0051998,CG31998
FBgn0051999,CG31999
FBgn0052006,CG32006
FBgn0052017,CG32017
FBgn0052099,CG32099
FBgn0052195,CG32195
FBgn0052206,CG32206
FBgn0052432,CG32432
FBgn0053012,CG33012
FBgn0053158,CG33158
FBgn0083991,CG34155
FBgn0038250,CG3505
FBgn0259202,CG42306
FBgn0260657,CG42540
FBgn0260658,CG42541
FBgn0260971,CG42594
FBgn0261262,CG42613
FBgn0261853,CG42782
FBgn0261859,CG42788
FBgn0261928,CG42795
FBgn0262476,CG43066
FBgn0264305,CG43783
FBgn0264503,CG43902
FBgn0039075,CG4393
FBgn0266100,CG44837
FBgn0266101,CG44838
FBgn0284236,CG46320
FBgn0287586,CG46456
FBgn0287599,CG46468
FBgn0034266,CG4975
FBgn0034267,CG4984
FBgn0038468,CG5225
FBgn0034365,CG5335
FBgn0036183,CG6083
FBgn0038332,CG6136
FBgn0036106,CG6409
FBgn0038286,CG6966
FBgn0036777,CG7341
FBgn0027583,CG7601
FBgn0037094,CG7611
FBgn0037101,CG7634
FBgn0034109,CG7747
FBgn0034566,CG9313
FBgn0035094,CG9380
FBgn0029939,CG9650
FBgn0039756,CG9743
FBgn0038196,CG9922
FBgn0053013,CR33013
FBgn0028836,CSN7
FBgn0264607,CaMKII
FBgn0000253,Cam
FBgn0037100,CapaR
FBgn0038331,Ccm3
FBgn0052183,Ccn
FBgn0000281,Cec2
FBgn0000277,CecA2
FBgn0266346,CngB
FBgn0032258,Cog4
FBgn0024811,Crk
FBgn0038006,Cyp313a2
FBgn0038007,Cyp313a3
FBgn0039617,DIP-gamma
FBgn0020493,Dad
FBgn0052666,Drak
FBgn0027101,Dyrk3
FBgn0000546,EcR
FBgn0005640,Eip63E
FBgn0000567,Eip74EF
FBgn0000568,Eip75B
FBgn0039916,Ekar
FBgn0011589,Elk
FBgn0261547,Exn
FBgn0000635,Fas2
FBgn0004509,Fur1
FBgn0050115,GEFmeso
FBgn0030932,Ggt-1
FBgn0034372,Gint3
FBgn0038934,Gld2
FBgn0034911,GlyT
FBgn0039690,Gnpnat
FBgn0045478,Gr64b
FBgn0045477,Gr64c
