geneID,geneName
FBgn0000015,Abd-B
FBgn0022710,Ac13E
FBgn0016122,Acer
FBgn0000667,Actn
FBgn0037679,Aduk
FBgn0015011,AhcyL2
FBgn0015589,Apc
FBgn0002921,Atpalpha
FBgn0000152,Axs
FBgn0011785,BRWD3
FBgn0003502,Btk29A
FBgn0039596,CG10000
FBgn0039088,CG10164
FBgn0039108,CG10232
FBgn0032783,CG10237
FBgn0039107,CG10300
FBgn0039106,CG10301
FBgn0039109,CG10365
FBgn0035656,CG10479
FBgn0039241,CG11089
FBgn0039249,CG11168
FBgn0031835,CG11319
FBgn0031856,CG11322
FBgn0039252,CG11771
FBgn0039131,CG12268
FBgn0030829,CG12998
FBgn0038929,CG13408
FBgn0038926,CG13409
FBgn0039128,CG13599
FBgn0039150,CG13605
FBgn0039161,CG13606
FBgn0039151,CG13607
FBgn0039288,CG13653
FBgn0039290,CG13654
FBgn0036818,CG14074
FBgn0031023,CG14200
FBgn0039479,CG14257
FBgn0039407,CG14544
FBgn0037836,CG14692
FBgn0032665,CG15152
FBgn0039719,CG15515
FBgn0039804,CG15544
FBgn0040528,CG15864
FBgn0030576,CG15890
FBgn0038809,CG16953
FBgn0039485,CG17189
FBgn0039473,CG17191
FBgn0038829,CG17271
FBgn0032032,CG17294
FBgn0032668,CG17681
FBgn0038717,CG17751
FBgn0040696,CG18675
FBgn0035204,CG2277
FBgn0051036,CG31036
FBgn0051038,CG31038
FBgn0051121,CG31121
FBgn0051145,CG31145
FBgn0051176,CG31176
FBgn0051191,CG31191
FBgn0051323,CG31323
FBgn0051342,CG31342
FBgn0043799,CG31381
FBgn0051637,CG31637
FBgn0052055,CG32055
FBgn0052066,CG32066
FBgn0052264,CG32264
FBgn0052354,CG32354
FBgn0052373,CG32373
FBgn0053107,CG33107
FBgn0053110,CG33110
FBgn0053111,CG33111
FBgn0053181,CG33181
FBgn0053278,CG33278
FBgn0032120,CG33298
FBgn0039510,CG3339
FBgn0053523,CG33523
FBgn0039508,CG3368
FBgn0083986,CG34150
FBgn0085324,CG34295
FBgn0085384,CG34355
FBgn0085479,CG34450
FBgn0035065,CG3589
FBgn0259145,CG42260
FBgn0259167,CG42272
FBgn0259222,CG42322
FBgn0259233,CG42331
FBgn0259736,CG42390
FBgn0259935,CG42458
FBgn0260657,CG42540
FBgn0261536,CG42660
FBgn0261537,CG42661
FBgn0261801,CG42747
FBgn0261804,CG42750
FBgn0039078,CG4374
FBgn0264090,CG43759
FBgn0039075,CG4393
FBgn0265668,CG44475
FBgn0265669,CG44476
FBgn0035981,CG4452
FBgn0266410,CG45050
FBgn0266525,CG45092
FBgn0266801,CG45263
FBgn0031299,CG4629
FBgn0284236,CG46320
FBgn0069913,CG4681
FBgn0038396,CG5013
FBgn0039347,CG5071
FBgn0038468,CG5225
FBgn0037897,CG5270
FBgn0030838,CG5445
FBgn0038359,CG5614
FBgn0039207,CG5789
FBgn0039223,CG5805
FBgn0027574,CG5815
FBgn0039130,CG5854
FBgn0039490,CG5882
FBgn0038924,CG6028
FBgn0038679,CG6040
FBgn0036139,CG6216
FBgn0035914,CG6282
FBgn0032303,CG6508
FBgn0039204,CG6607
FBgn0038917,CG6678
FBgn0036240,CG6928
FBgn0038989,CG6937
FBgn0035896,CG6983
FBgn0039027,CG7031
FBgn0038972,CG7054
FBgn0038716,CG7342
FBgn0035805,CG7506
FBgn0032018,CG7806
FBgn0037584,CG7963
FBgn0035733,CG8641
FBgn0030634,CG9164
FBgn0030569,CG9411
FBgn0031801,CG9498
FBgn0035769,CTCF
FBgn0261053,Cad86C
FBgn0022800,Cad96Ca
FBgn0013995,Calx
FBgn0052183,Ccn
FBgn0015618,Cdk8
FBgn0038888,CheB93a
FBgn0035533,Cip4
FBgn0035767,Cln7
FBgn0025865,Cortactin
FBgn0039054,Cow
FBgn0039480,Cpr97Ea
FBgn0020496,CtBP
FBgn0035205,Ctr9
FBgn0031693,Cyp4ac1
FBgn0015033,Cyp4d8
FBgn0259714,DIP-epsilon
FBgn0051708,DIP-zeta
FBgn0264326,DNApol-epsilon255
FBgn0053531,Ddr
FBgn0035581,Dnah3
FBgn0024558,Dph5
FBgn0004910,Eip63F-1
FBgn0266758,Esyt2
FBgn0039225,Ets96B
FBgn0005659,Ets98B
FBtr0309649_df_nrg,FBtr0309649_df_nrg
FBgn0038827,Fancd2
FBgn0024238,Fim
FBgn0004509,Fur1
FBgn0051148,Gba1a
FBgn0038934,Gld2
FBgn0085423,GramD1B
FBgn0035907,GstO1
FBgn0035906,GstO2
FBgn0013973,Gycbeta100B
FBgn0015805,HDAC1
FBgn0004914,Hnf4
FBgn0038755,Hs6st
FBgn0001216,Hsc70-1
FBgn0052082,IRSp53
FBgn0027291,Idh3a
FBgn0001257,ImpL2
FBgn0027106,Inx7
FBgn0050464,Ir52d
FBgn0039155,Kal1
FBgn0002578,Kaz-m1
FBgn0004379,Klp67A
FBgn0032253,LManI
FBgn0027611,LManII
FBgn0051072,Lerp
FBgn0010342,Map60
FBgn0030993,Mec2
FBgn0033438,Mmp2
FBgn0260660,Mp
FBgn0053300,Muc30E
FBgn0038492,Mur89F
FBgn0267431,Myo81F
FBgn0015773,NetA
FBgn0011676,Nos
FBgn0039348,Npl4
FBgn0031111,Obp19c
FBgn0026396,Or22c
FBgn0019952,Orct
FBgn0265190,PIG-S
FBgn0025574,Pli
FBgn0003137,Ppn
FBgn0004369,Ptp99A
FBgn0028341,Ptpmeg2
FBgn0011828,Pxn
FBgn0267385,PyK
FBgn0051413,Qsox4
FBgn0004842,RYa-R
FBgn0264895,RapGAP1
FBgn0003206,Ras64B
FBgn0021800,Reph
FBgn0039883,RhoGAP100F
FBgn0035574,RhoGEF64C
FBgn0039152,Root
FBgn0030687,RpIIIC160
FBgn0039129,RpS19b
FBgn0002622,RpS3
FBgn0015282,Rpt2
FBgn0259162,RunxB
FBgn0003310,S
FBgn0035915,S-Lap1
FBgn0283472,S6k
FBgn0053527,SIFa
FBgn0051163,SKIP
FBgn0264357,SNF4Agamma
FBgn0032013,Scgalpha
FBgn0024509,Sec13
FBgn0259923,Sep4
FBgn0085450,Snoo
FBgn0041184,Socs36E
FBgn0262733,Src64B
FBgn0039349,Ssadh
FBgn0038826,Syp
FBgn0039212,Syx18
FBgn0013343,Syx1A
FBgn0052238,TTLL1B
FBgn0035505,Teh2
FBgn0263392,Tet
FBgn0004841,TkR86C
FBgn0262473,Tl
FBgn0029114,Tollo
FBgn0004924,Top1
FBgn0038327,Trax
FBgn0265194,Trpm
FBgn0024920,Ts
FBgn0029506,Tsp42Ee
FBgn0035786,Tsp66A
FBgn0027603,Ulp1
FBgn0263352,Unr
FBgn0050421,Usp15-31
FBgn0024273,WASp
FBgn0046685,Wsck
FBgn0261113,Xrp1
FBgn0035917,Zasp66
FBgn0085478,Zdhhc8
FBgn0038412,Zip89B
FBgn0263603,Zn72D
FBgn0000028,acj6
FBgn0262167,ana1
FBgn0039598,aqrs
FBgn0264878,asRNA:CR44069
FBgn0000139,ash2
FBgn0039213,atl
FBgn0262870,axo
FBgn0032629,beat-IIIc
FBgn0039089,beat-IV
FBgn0026257,cav
FBgn0086757,cbs
FBgn0014141,cher
FBgn0033095,chk
FBgn0015371,chn
FBgn0261016,clos
FBgn0263995,cpo
FBgn0259685,crb
FBgn0033015,d4
FBgn0015926,dah
FBgn0039286,dan
FBgn0052600,dpr8
FBgn0039411,dysf
FBgn0053100,eIF4EHP
FBgn0020443,eRF3
FBgn0036574,elg1
FBgn0264693,ens
FBgn0031375,erm
FBgn0259146,fid
FBgn0001078,ftz-f1
FBgn0004373,fwd
FBgn0039487,gb
FBgn0250823,gish
FBgn0004919,gol
FBgn0001138,grn
FBgn0001139,gro
FBgn0261509,haf
FBgn0038842,hdly
FBgn0011224,heph
FBgn0264491,how
FBgn0085451,htk
FBgn0286204,ich
FBgn0011225,jar
FBgn0028371,jbug
FBgn0039350,jigr1
FBgn0263929,jvl
FBgn0031016,kek5
FBgn0001301,kel
FBgn0262127,kibra
FBgn0266557,kis
FBgn0026713,l(1)G0007
FBgn0040153,l(1)G0469
FBgn0010482,l(2)01289
FBgn0011640,lark
FBgn0250903,lmgA
FBgn0085470,lmgB
FBgn0262901,lncRNA:CR43256
FBgn0264893,lncRNA:CR44084
FBgn0265379,lncRNA:CR44320
FBgn0265450,lncRNA:CR44350
FBgn0265704,lncRNA:CR44511
FBgn0266003,lncRNA:CR44777
FBgn0266257,lncRNA:CR44952
FBgn0266400,lncRNA:CR45040
FBgn0266744,lncRNA:CR45217
FBgn0266751,lncRNA:CR45224
FBgn0266753,lncRNA:CR45226
FBgn0266987,lncRNA:CR45438
FBgn0267601,lncRNA:CR45939
FBgn0267742,lncRNA:CR46073
FBgn0083946,lobo
FBgn0035980,mRRF1
FBgn0035534,mRpS6
FBgn0043884,mask
FBgn0015513,mbc
FBgn0261260,mgl
FBgn0263542,mir-4954
FBgn0259110,mmd
FBgn0002781,mod(mdg4)
FBgn0011666,msi
FBgn0260386,mtg
FBgn0000036,nAChRalpha1
FBgn0086778,nAChRalpha7
FBgn0004118,nAChRbeta2
FBgn0002922,nau
FBgn0015777,nrv2
FBgn0004646,ogre
FBgn0267339,p38c
FBgn0037680,pasi2
FBgn0039431,plum
FBgn0003118,pnt
FBgn0039227,polybromo
FBgn0031802,ppk7
FBgn0264493,rdx
FBgn0263289,scrib
FBgn0086348,se
FBgn0051632,sens-2
FBgn0085387,shakB
FBgn0052423,shep
FBgn0003392,shi
FBgn0016061,side
FBgn0085447,sif
FBgn0004666,sim
FBgn0261245,sing
FBgn0003429,slo
FBgn0035539,slow
FBgn0086708,stv
FBgn0265189,sud1
FBgn0041092,tai
FBgn0260938,tay
FBgn0052506,tbc
FBgn0038118,timeout
FBgn0003710,tipE
FBgn0003716,tkv
FBgn0015600,toc
FBgn0004885,tok
FBgn0262139,trh
FBgn0085391,trv
FBgn0035756,unc-13-4A
FBgn0039536,unc80
FBgn0003984,vn
FBgn0261287,ymp
