geneID,geneName
FBgn0038348,AOX2
FBgn0038349,AOX3
FBgn0263120,Acsl
FBgn0020655,ArfGAP1
FBgn0050372,Asap
FBgn0034366,Atg7
FBgn0033504,CAP
FBgn0039321,CG10550
FBgn0036342,CG11279
FBgn0035537,CG11342
FBgn0040351,CG11638
FBgn0038202,CG12402
FBgn0035360,CG1246
FBgn0033720,CG13160
FBgn0032609,CG13280
FBgn0039315,CG13658
FBgn0039068,CG13827
FBgn0039009,CG13842
FBgn0031032,CG14204
FBgn0037964,CG14731
FBgn0033236,CG14764
FBgn0038246,CG14853
FBgn0035410,CG14964
FBgn0031440,CG15395
FBgn0083978,CG17672
FBgn0000633,CG17716
FBgn0039790,CG2246
FBgn0039663,CG2321
FBgn0050484,CG30484
FBgn0051016,CG31016
FBgn0051021,CG31021
FBgn0051323,CG31323
FBgn0028490,CG31705
FBgn0052104,CG32104
FBgn0052532,CG32532
FBgn0083942,CG34106
FBgn0085383,CG34354
FBgn0039955,CG41099
FBgn0250911,CG42245
FBgn0259145,CG42260
FBgn0259163,CG42268
FBgn0259200,CG42304
FBgn0259227,CG42327
FBgn0260222,CG42496
FBgn0261859,CG42788
FBgn0039078,CG4374
FBgn0264297,CG43775
FBgn0264298,CG43776
FBgn0264299,CG43777
FBgn0264488,CG43896
FBgn0266100,CG44837
FBgn0028863,CG4587
FBgn0284236,CG46320
FBgn0039010,CG4907
FBgn0039347,CG5071
FBgn0036784,CG5103
FBgn0036202,CG6024
FBgn0039449,CG6425
FBgn0032369,CG6614
FBgn0036240,CG6928
FBgn0036235,CG6938
FBgn0039026,CG7029
FBgn0033702,CG8854
FBgn0031765,CG9109
FBgn0038365,CG9593
FBgn0037963,Cad87A
FBgn0039928,Cals
FBgn0287478,Camta
FBgn0005775,Con
FBgn0033725,Cpr49Ac
FBgn0033303,Cyp6a15Psi
FBgn0051646,DIP-theta
FBgn0267972,Der-1
FBgn0000594,Est-P
FBgn0016013,Faa
FBgn0000636,Fas3
FBgn0004509,Fur1
FBgn0050115,GEFmeso
FBgn0033799,GLaz
FBgn0033316,Gle1
FBgn0046113,GluRIIC
FBgn0001169,H
FBgn0027788,Hey
FBgn0052105,Lmx1a
FBgn0035357,MEP-1
FBgn0024321,NK7.1
FBgn0029843,Nep1
FBgn0039022,Nepl13
FBgn0026401,Nipped-B
FBgn0039348,Npl4
FBgn0038203,Or88a
FBgn0051017,PH4alphaNE3
FBgn0036239,Pop2
FBgn0050290,Ppcdc
FBgn0027082,ProRS-m
FBgn0004369,Ptp99A
FBgn0262867,Ptr
FBgn0020620,RN-tre
FBgn0004842,RYa-R
FBgn0032439,Ref2
FBgn0038853,RhoGAP93B
FBgn0050085,Rif1
FBgn0283472,S6k
FBgn0051163,SKIP
FBgn0003319,Sb
FBgn0284221,Sema5c
FBgn0032475,Sfmbt
FBgn0265523,Smr
FBgn0259199,Snup
FBgn0086532,Spt-I
FBgn0262733,Src64B
FBgn0035627,Sse
FBgn0033876,Syngr
FBgn0038826,Syp
FBgn0046689,Takl1
FBgn0263392,Tet
FBgn0044809,TotZ
FBgn0039025,Usp12-46
FBgn0266709,Zmynd10
FBgn0265168,asRNA:CR44237
FBgn0266635,asRNA:CR45142
FBgn0265607,beat-IIIa
FBgn0250908,beat-VII
FBgn0038084,beat-Vc
FBgn0266756,btsz
FBgn0259685,crb
FBgn0285955,cv-c
FBgn0033015,d4
FBgn0053516,dpr3
FBgn0052600,dpr8
FBgn0263934,esn
FBgn0005390,fs(1)M3
FBgn0027342,fz4
FBgn0264491,how
FBgn0028371,jbug
FBgn0035639,kri
FBgn0026713,l(1)G0007
FBgn0052111,lncRNA:CR32111
FBgn0052773,lncRNA:CR32773
FBgn0261814,lncRNA:CR42756
FBgn0263648,lncRNA:CR43639
FBgn0264428,lncRNA:CR43846
FBgn0264840,lncRNA:CR44048
FBgn0265067,lncRNA:CR44178
FBgn0265299,lncRNA:CR44272
FBgn0265448,lncRNA:CR44348
FBgn0266043,lncRNA:CR44808
FBgn0266650,lncRNA:CR45157
FBgn0266751,lncRNA:CR45224
FBgn0267112,lncRNA:CR45552
FBgn0267113,lncRNA:CR45553
FBgn0267131,lncRNA:CR45571
FBgn0267748,lncRNA:CR46079
FBgn0261279,lqfR
FBgn0002643,mam
FBgn0004797,mdy
FBgn0000036,nAChRalpha1
FBgn0004882,orb
FBgn0003016,osp
FBgn0004839,otk
FBgn0039431,plum
FBgn0261261,plx
FBgn0260499,qvr
FBgn0264493,rdx
FBgn0041096,rols
FBgn0003300,run
FBgn0013733,shot
FBgn0085447,sif
FBgn0003475,spir
FBgn0020299,stumps
FBgn0003638,su(w[a])
FBgn0052088,sunn
FBgn0003651,svp
FBgn0036263,thoc6
FBgn0038118,timeout
FBgn0082582,tmod
FBgn0003984,vn
FBgn0261563,wb
FBgn0051151,wge
