geneID,geneName
FBgn0020238,14-3-3epsilon
FBgn0250848,26-29-p
FBgn0260793,2mit
FBgn0004168,5-HT1A
FBgn0004573,5-HT7
FBgn0031791,AANATL2
FBgn0031170,ABCA
FBgn0039890,ABCD
FBgn0033246,ACC
FBgn0040510,ACXA
FBgn0040508,ACXC
FBgn0040507,ACXD
FBgn0040506,ACXE
FBgn0026573,ADD1
FBgn0033983,ADPS
FBgn0053138,AGBE
FBgn0262739,AGO1
FBgn0033351,AIMP1
FBgn0052626,AMPdeam
FBgn0038349,AOX3
FBgn0038350,AOX4
FBgn0033807,AQP
FBgn0034606,ASPP
FBgn0030343,ATP7
FBgn0259221,ATP8A
FBgn0020236,ATPCL
FBgn0038224,ATPsynE
FBgn0036568,ATPsynbetaL
FBgn0022710,Ac13E
FBgn0004852,Ac76E
FBgn0011273,Acam
FBgn0000024,Ace
FBgn0028484,Ack
FBgn0263998,Ack-like
FBgn0034153,Acp53C14b
FBgn0053530,Acp53C14c
FBgn0263120,Acsl
FBgn0000044,Act57B
FBgn0000046,Act87E
FBgn0000667,Actn
FBgn0038467,AdSL
FBgn0263738,Ada2a
FBgn0286071,AdamTS-A
FBgn0028658,Adat1
FBgn0038172,Adgf-D
FBgn0033952,Adgf-E
FBgn0022709,Adk1
FBgn0039747,AdoR
FBgn0036043,Ae2
FBgn0005694,Aef1
FBgn0038223,Afti
FBgn0020508,Ag5r2
FBgn0027932,Akap200
FBgn0010379,Akt1
FBgn0000064,Ald1
FBgn0012036,Aldh
FBgn0010548,Aldh-III
FBgn0036857,Aldh7A1
FBgn0040505,Alk
FBgn0283479,Alp1
FBgn0035619,Alp10
FBgn0016123,Alp4
FBgn0038845,Alp5
FBgn0037116,Als2
FBgn0027356,Amph
FBgn0020506,Amyrel
FBgn0012037,Ance
FBgn0032535,Ance-2
FBgn0032536,Ance-3
FBgn0011747,Ank
FBgn0261788,Ank2
FBgn0260642,Antp
FBgn0030749,AnxB11
FBgn0026598,Apc2
FBgn0040281,Aplip1
FBgn0032136,Apoltp
FBgn0000108,Appl
FBgn0036111,Aps
FBgn0020655,ArfGAP1
FBgn0037182,ArfGAP3
FBgn0000116,Argk
FBgn0000115,Arl1
FBgn0038576,Arp5
FBgn0038369,Arpc3A
FBgn0000121,Arr2
FBgn0032329,Art8
FBgn0050372,Asap
FBgn0014006,Ask1
FBgn0015591,AstA
FBgn0266429,AstA-R1
FBgn0039595,AstA-R2
FBgn0036790,AstC-R1
FBgn0032337,AstCC
FBgn0052343,Atac3
FBgn0028550,Atf3
FBgn0260945,Atg1
FBgn0036813,Atg3
FBgn0031298,Atg4a
FBgn0034366,Atg7
FBgn0002921,Atpalpha
FBgn0012042,AttA
FBgn0041581,AttB
FBgn0038530,AttD
FBgn0013751,Awh
FBgn0026597,Axn
FBgn0004854,B-H2
FBgn0023407,B4
FBgn0035741,BBS1
FBgn0034622,BBS9
FBgn0250831,BG642167
FBgn0035140,BORCS6
FBgn0032049,Bace
FBgn0033778,Balat
FBgn0042085,Bap170
FBgn0260860,Bet5
FBgn0050077,Blos1
FBgn0037205,BoYb
FBgn0038930,BomT3
FBgn0033374,Boot
FBgn0033155,Br140
FBgn0086694,Bre1
FBgn0038499,Brf
FBgn0000227,Bsg25A
FBgn0263108,BtbVII
FBgn0030501,BthD
FBgn0003502,Btk29A
FBgn0029848,Btnd
FBgn0032600,BuGZ
FBgn0263855,BubR1
FBgn0004863,C15
FBgn0259228,C3G
FBgn0027844,CAH1
FBgn0027843,CAH2
FBgn0030056,CAH3
FBgn0039486,CAH9
FBgn0033504,CAP
FBgn0029962,CARPA
FBgn0052698,CARPB
FBgn0013759,CASK
FBgn0039396,CCAP-R
FBgn0036219,CCDC151
FBgn0038199,CCHa1
FBgn0050106,CCHa1-R
FBgn0038147,CCHa2
FBgn0033058,CCHa2-R
FBgn0259231,CCKLR-17D1
FBgn0030086,CCT2
FBgn0027329,CCT6
FBgn0030752,CDC50
FBgn0039774,CDase
FBgn0039596,CG10000
FBgn0039590,CG10011
FBgn0037482,CG10055
FBgn0036369,CG10089
FBgn0039084,CG10175
FBgn0039083,CG10177
FBgn0039093,CG10183
FBgn0039094,CG10184
FBgn0038397,CG10185
FBgn0039118,CG10208
FBgn0032685,CG10211
FBgn0039108,CG10232
FBgn0027512,CG10254
FBgn0032681,CG10283
FBgn0037432,CG10298
FBgn0038420,CG10311
FBgn0034643,CG10321
FBgn0035453,CG10357
FBgn0035452,CG10359
FBgn0036208,CG10361
FBgn0039109,CG10365
FBgn0034638,CG10433
FBgn0034494,CG10444
FBgn0033440,CG10459
FBgn0035656,CG10479
FBgn0037057,CG10512
FBgn0039311,CG10513
FBgn0034570,CG10543
FBgn0039321,CG10550
FBgn0036290,CG10638
FBgn0036294,CG10654
FBgn0036289,CG10657
FBgn0036288,CG10660
FBgn0036287,CG10663
FBgn0035588,CG10672
FBgn0036291,CG10681
FBgn0032843,CG10730
FBgn0034081,CG10731
FBgn0036368,CG10738
FBgn0032845,CG10747
FBgn0029660,CG10801
FBgn0029666,CG10803
FBgn0029663,CG10804
FBgn0028858,CG10839
FBgn0038621,CG10864
FBgn0034307,CG10914
FBgn0034312,CG10916
FBgn0029969,CG10932
FBgn0034253,CG10936
FBgn0032857,CG10947
FBgn0036317,CG10948
FBgn0036316,CG10960
FBgn0030073,CG10962
FBgn0036310,CG10969
FBgn0036306,CG10973
FBgn0034484,CG11044
FBgn0034693,CG11073
FBgn0030528,CG11095
FBgn0034485,CG11099
FBgn0033164,CG11112
FBgn0033174,CG11125
FBgn0037204,CG11131
FBgn0030519,CG11151
FBgn0039927,CG11155
FBgn0037186,CG11241
FBgn0037120,CG11247
FBgn0037117,CG11248
FBgn0037115,CG11249
FBgn0036346,CG11251
FBgn0036330,CG11263
FBgn0036342,CG11279
FBgn0037070,CG11309
FBgn0039816,CG11317
FBgn0039818,CG11318
FBgn0031835,CG11319
FBgn0035537,CG11342
FBgn0035550,CG11349
FBgn0037185,CG11367
FBgn0040364,CG11378
FBgn0040359,CG11380
FBgn0040367,CG11382
FBgn0026876,CG11403
FBgn0024366,CG11409
FBgn0037164,CG11438
FBgn0039749,CG11498
FBgn0037156,CG11523
FBgn0035400,CG11537
FBgn0039868,CG11563
FBgn0031159,CG11566
FBgn0038068,CG11600
FBgn0038705,CG11626
FBgn0032968,CG11634
FBgn0033283,CG11635
FBgn0040351,CG11638
FBgn0036196,CG11658
FBgn0030551,CG11674
FBgn0040551,CG11686
FBgn0033527,CG11777
FBgn0030495,CG11816
FBgn0033519,CG11825
FBgn0039633,CG11873
FBgn0033538,CG11883
FBgn0036678,CG11905
FBgn0031638,CG11927
FBgn0031620,CG11929
FBgn0039656,CG11951
FBgn0035236,CG12004
FBgn0035430,CG12009
FBgn0035429,CG12017
FBgn0035285,CG12025
FBgn0030052,CG12065
FBgn0039808,CG12071
FBgn0030065,CG12075
FBgn0043458,CG12084
FBgn0030457,CG12096
FBgn0035241,CG12105
FBgn0033158,CG12164
FBgn0030510,CG12177
FBgn0028504,CG12182
FBgn0043796,CG12219
FBgn0026148,CG12253
FBgn0039419,CG12290
FBgn0032295,CG12299
FBgn0035134,CG1231
FBgn0033774,CG12374
FBgn0030722,CG12395
FBgn0038202,CG12402
FBgn0035360,CG1246
FBgn0033861,CG12464
FBgn0036809,CG12477
FBgn0040871,CG12479
FBgn0035571,CG12493
FBgn0038968,CG12499
FBgn0035171,CG12502
FBgn0032311,CG12517
FBgn0031064,CG12531
FBgn0029657,CG12535
FBgn0030586,CG12539
FBgn0029930,CG12541
FBgn0031190,CG12576
FBgn0037213,CG12581
FBgn0040684,CG12589
FBgn0040942,CG12643
FBgn0031080,CG12655
FBgn0030071,CG12661
FBgn0046294,CG12699
FBgn0035321,CG1275
FBgn0033252,CG12769
FBgn0024365,CG12773
FBgn0038448,CG12783
FBgn0033221,CG12825
FBgn0033141,CG12831
FBgn0033963,CG12857
FBgn0033953,CG12861
FBgn0033948,CG12863
FBgn0033955,CG12866
FBgn0033945,CG12868
FBgn0033943,CG12869
FBgn0046258,CG12880
FBgn0039523,CG12885
FBgn0033502,CG12910
FBgn0034031,CG12963
FBgn0030847,CG12991
FBgn0040877,CG12994
FBgn0030806,CG13001
FBgn0030798,CG13003
FBgn0030780,CG13008
FBgn0030769,CG13012
FBgn0029669,CG13021
FBgn0036665,CG13024
FBgn0036607,CG13059
FBgn0040798,CG13069
FBgn0036586,CG13070
FBgn0032084,CG13101
FBgn0032100,CG13108
FBgn0032150,CG13123
FBgn0032156,CG13124
FBgn0032176,CG13127
FBgn0032175,CG13131
FBgn0032181,CG13133
FBgn0032184,CG13135
FBgn0033723,CG13155
FBgn0033720,CG13160
FBgn0033705,CG13168
FBgn0035333,CG1317
FBgn0033703,CG13170
FBgn0033661,CG13185
FBgn0033680,CG13186
FBgn0062449,CG13197
FBgn0033628,CG13203
FBgn0033608,CG13220
FBgn0033589,CG13227
FBgn0037013,CG13250
FBgn0086673,CG13272
FBgn0032609,CG13280
FBgn0032614,CG13284
FBgn0035677,CG13293
FBgn0035699,CG13300
FBgn0035928,CG13310
FBgn0035941,CG13313
FBgn0033788,CG13323
FBgn0033789,CG13324
FBgn0033792,CG13325
FBgn0033794,CG13326
FBgn0033863,CG13337
FBgn0033884,CG13344
FBgn0025633,CG13366
FBgn0261446,CG13377
FBgn0036799,CG13380
FBgn0014417,CG13397
FBgn0030559,CG13404
FBgn0038929,CG13408
FBgn0034532,CG13436
FBgn0034545,CG13438
FBgn0027507,CG1344
FBgn0036479,CG13458
FBgn0036406,CG13484
FBgn0040658,CG13516
FBgn0030151,CG1354
FBgn0034826,CG13544
FBgn0040660,CG13551
FBgn0034899,CG13560
FBgn0034996,CG13575
FBgn0033196,CG1358
FBgn0033195,CG1360
FBgn0039137,CG13604
FBgn0039161,CG13606
FBgn0039170,CG13609
FBgn0039199,CG13615
FBgn0039201,CG13617
FBgn0031270,CG13689
FBgn0036781,CG13699
FBgn0036785,CG13700
FBgn0035583,CG13704
FBgn0035577,CG13708
FBgn0036705,CG13723
FBgn0036382,CG13737
FBgn0033368,CG13743
FBgn0033353,CG13749
