transcript,geneID,geneName
FBtr0310657,FBgn0000667,Actn
FBtr0073291,FBgn0035539,slow
FBtr0074441,FBgn0024238,Fim
FBtr0076277,FBgn0052066,CG32066
FBtr0076843,FBgn0011640,lark
FBtr0080971,FBgn0032629,beat-IIIc
FBtr0084214,FBgn0267385,PyK
FBtr0084530,FBgn0053111,FBgn0053111
FBtr0339255,FBgn0039223,CG5805
FBtr0303148,FBgn0004369,Ptp99A
FBtr0112753,FBgn0085478,Zdhhc8
FBtr0112755,FBgn0085478,Zdhhc8
FBtr0339824,FBgn0053181,CG33181
FBtr0331702,FBgn0039479,CG14257
FBtr0299843,FBgn0259233,CG42331
FBtr0344146,FBgn0261509,haf
FBtr0330278,FBgn0263995,cpo
FBtr0082711,FBgn0004666,sim
