geneID,geneName
FBgn0031170,ABCA
FBgn0030089,AP-1gamma
FBgn0030343,ATP7
FBgn0016119,ATPsynCF6
FBgn0036372,Abp1
FBgn0022710,Ac13E
FBgn0016122,Acer
FBgn0000042,Act5C
FBgn0000667,Actn
FBgn0015008,Actn3
FBgn0035039,Adck1
FBgn0037679,Aduk
FBgn0015010,Ag5r
FBgn0020508,Ag5r2
FBgn0015011,AhcyL2
FBgn0027932,Akap200
FBgn0027094,AlaRS
FBgn0030122,Aladin
FBgn0028343,Ankle2
FBgn0026150,ApepP
FBgn0011742,Arp2
FBgn0030877,Arp8
FBgn0266429,AstA-R1
FBgn0030960,Atg101
FBgn0002921,Atpalpha
FBgn0029907,Atx-1
FBgn0000152,Axs
FBgn0004854,B-H2
FBgn0026149,BCL7-like
FBgn0011785,BRWD3
FBgn0030093,Bap111
FBgn0025463,Bap60
FBgn0086694,Bre1
FBgn0030501,BthD
FBgn0003502,Btk29A
FBgn0265598,Bx
FBgn0259228,C3G
FBgn0039486,CAH9
FBgn0052698,CARPB
FBgn0259231,CCKLR-17D1
FBgn0030954,CCKLR-17D3
FBgn0039088,CG10164
FBgn0039093,CG10183
FBgn0039108,CG10232
FBgn0032783,CG10237
FBgn0038394,CG10264
FBgn0033990,CG10265
FBgn0030349,CG10353
FBgn0039109,CG10365
FBgn0038395,CG10407
FBgn0035656,CG10479
FBgn0039329,CG10669
FBgn0029969,CG10932
FBgn0030078,CG10970
FBgn0039249,CG11168
FBgn0031139,CG11227
FBgn0031835,CG11319
FBgn0031856,CG11322
FBgn0029951,CG11369
FBgn0031159,CG11566
FBgn0030543,CG11585
FBgn0029539,CG11663
FBgn0040648,CG11666
FBgn0031115,CG11710
FBgn0039299,CG11854
FBgn0028647,CG11902
FBgn0039831,CG12054
FBgn0030065,CG12075
FBgn0030457,CG12096
FBgn0031022,CG12204
FBgn0031026,CG12231
FBgn0031201,CG12446
FBgn0030542,CG12481
FBgn0031064,CG12531
FBgn0029930,CG12541
FBgn0031190,CG12576
FBgn0030952,CG12609
FBgn0031103,CG12679
FBgn0029701,CG12691
FBgn0031070,CG12702
FBgn0030443,CG12715
FBgn0029816,CG12729
FBgn0037677,CG12951
FBgn0030847,CG12991
FBgn0030846,CG12992
FBgn0030829,CG12998
FBgn0030804,CG13002
FBgn0030798,CG13003
FBgn0030794,CG13005
FBgn0030769,CG13012
FBgn0029669,CG13021
FBgn0031141,CG1304
FBgn0032150,CG13123
FBgn0031129,CG1324
FBgn0033792,CG13325
FBgn0033794,CG13326
FBgn0026874,CG13358
FBgn0025616,CG13359
FBgn0025620,CG13360
FBgn0032031,CG13390
FBgn0014417,CG13397
FBgn0032042,CG13398
FBgn0035097,CG13405
FBgn0038926,CG13409
FBgn0039199,CG13615
FBgn0039200,CG13616
FBgn0039203,CG13618
FBgn0039202,CG13622
FBgn0039205,CG13623
FBgn0039224,CG13634
FBgn0039288,CG13653
FBgn0039290,CG13654
FBgn0031900,CG13786
FBgn0030277,CG1394
FBgn0030979,CG14190
FBgn0030981,CG14191
FBgn0030996,CG14194
FBgn0030998,CG14195
FBgn0031002,CG14196
FBgn0031023,CG14200
FBgn0031034,CG14205
FBgn0031037,CG14207
FBgn0031045,CG14212
FBgn0031033,CG14219
FBgn0031065,CG14234
FBgn0039479,CG14257
FBgn0032024,CG14273
FBgn0032023,CG14274
FBgn0038581,CG14314
FBgn0030554,CG1434
FBgn0029643,CG14420
FBgn0029922,CG14431
FBgn0031184,CG14615
FBgn0031183,CG14621
FBgn0040398,CG14629
FBgn0037217,CG14636
FBgn0025393,CG14795
FBgn0023513,CG14803
FBgn0023514,CG14805
FBgn0023515,CG14814
FBgn0026089,CG14817
FBgn0026088,CG14818
FBgn0030361,CG1492
FBgn0032365,CG14929
FBgn0032366,CG14930
FBgn0031169,CG1494
FBgn0031100,CG1504
FBgn0030937,CG15042
FBgn0030938,CG15047
FBgn0030918,CG15056
FBgn0030905,CG15059
FBgn0032665,CG15152
FBgn0032669,CG15155
FBgn0030296,CG15196
FBgn0030278,CG15200
FBgn0031144,CG1529
FBgn0031143,CG1532
FBgn0031088,CG15322
FBgn0030077,CG15365
FBgn0030104,CG15368
FBgn0030105,CG15369
FBgn0031161,CG15445
FBgn0031155,CG15446
FBgn0040651,CG15458
FBgn0031108,CG15459
FBgn0040649,CG15461
FBgn0029746,CG15465
FBgn0029702,CG15572
FBgn0030673,CG15601
FBgn0031644,CG15625
FBgn0030438,CG15721
FBgn0030336,CG1578
FBgn0040528,CG15864
FBgn0015336,CG15865
FBgn0030576,CG15890
FBgn0030700,CG15914
FBgn0030704,CG15916
FBgn0030218,CG1628
FBgn0039092,CG16723
FBgn0038719,CG16727
FBgn0037678,CG16749
FBgn0029941,CG1677
FBgn0038881,CG16791
FBgn0031116,CG1695
FBgn0040972,CG16978
FBgn0025621,CG16989
FBgn0031082,CG17003
FBgn0039485,CG17189
FBgn0031164,CG1724
FBgn0032032,CG17294
FBgn0031195,CG17600
FBgn0032668,CG17681
FBgn0028394,CG17834
FBgn0030163,CG1791
FBgn0031119,CG1812
FBgn0038470,CG18213
FBgn0030403,CG1824
