geneID,geneName
FBgn0004364,18w
FBgn0019643,AANAT1
FBgn0034429,AANATL4
FBgn0034426,AANATL5
FBgn0034428,AANATL6
FBgn0038348,AOX2
FBgn0038349,AOX3
FBgn0263998,Ack-like
FBgn0027493,AdSS
FBgn0286071,AdamTS-A
FBgn0039425,Ald2
FBgn0015589,Apc
FBgn0020655,ArfGAP1
FBgn0011742,Arp2
FBgn0030877,Arp8
FBgn0002069,AspRS
FBgn0266429,AstA-R1
FBgn0032336,AstC
FBgn0028550,Atf3
FBgn0035850,Atg18a
FBgn0264325,Atg6
FBgn0034366,Atg7
FBgn0002921,Atpalpha
FBgn0031420,Atxn7
FBgn0039560,BOD1
FBgn0050169,Brca2
FBgn0266717,Bruce
FBgn0029848,Btnd
FBgn0033504,CAP
FBgn0038012,CG10013
FBgn0027512,CG10254
FBgn0034655,CG10307
FBgn0032707,CG10348
FBgn0034731,CG10384
FBgn0032730,CG10431
FBgn0034427,CG10474
FBgn0039321,CG10550
FBgn0029664,CG10802
FBgn0029663,CG10804
FBgn0032520,CG10859
FBgn0037238,CG1090
FBgn0031178,CG10918
FBgn0030536,CG11068
FBgn0030266,CG11122
FBgn0033067,CG11211
FBgn0036342,CG11279
FBgn0035537,CG11342
FBgn0029951,CG11369
FBgn0040362,CG11379
FBgn0040351,CG11638
FBgn0030638,CG11655
FBgn0029539,CG11663
FBgn0030551,CG11674
FBgn0031115,CG11710
FBgn0039316,CG11893
FBgn0039645,CG11898
FBgn0034425,CG11906
FBgn0031638,CG11927
FBgn0029662,CG12206
FBgn0043796,CG12219
FBgn0030596,CG12398
FBgn0038202,CG12402
FBgn0035360,CG1246
FBgn0029657,CG12535
FBgn0035481,CG12605
FBgn0031388,CG12674
FBgn0029703,CG12692
FBgn0039523,CG12885
FBgn0030798,CG13003
FBgn0031141,CG1304
FBgn0033693,CG13175
FBgn0037016,CG13252
FBgn0086673,CG13272
FBgn0032609,CG13280
FBgn0033792,CG13325
FBgn0033794,CG13326
FBgn0025633,CG13366
FBgn0034788,CG13532
FBgn0034906,CG13561
FBgn0039315,CG13658
FBgn0039319,CG13659
FBgn0038993,CG13843
FBgn0038961,CG13850
FBgn0038960,CG13855
FBgn0038959,CG13856
FBgn0032824,CG13962
FBgn0036232,CG14125
FBgn0030998,CG14195
FBgn0031023,CG14200
FBgn0031032,CG14204
FBgn0031034,CG14205
FBgn0031031,CG14218
FBgn0031033,CG14219
FBgn0029665,CG14270
FBgn0038207,CG14356
FBgn0030595,CG14406
FBgn0029922,CG14431
FBgn0029911,CG14435
FBgn0029895,CG14441
FBgn0029851,CG14445
FBgn0033000,CG14464
FBgn0040360,CG14626
FBgn0040361,CG14627
FBgn0029552,CG14631
FBgn0037829,CG14691
FBgn0037964,CG14731
FBgn0033236,CG14764
FBgn0038246,CG14853
FBgn0035410,CG14964
FBgn0035480,CG14984
FBgn0030905,CG15059
FBgn0034461,CG15124
FBgn0029681,CG15239
FBgn0030167,CG15252
FBgn0028878,CG15269
FBgn0029986,CG15332
FBgn0031377,CG15356
FBgn0029694,CG15375
FBgn0040715,CG15386
FBgn0031403,CG15387
FBgn0031419,CG15390
FBgn0031440,CG15395
FBgn0031602,CG15431
FBgn0029746,CG15465
FBgn0029726,CG15471
FBgn0029724,CG15472
FBgn0039804,CG15544
FBgn0029801,CG15771
FBgn0029799,CG15772
FBgn0035003,CG15873
FBgn0039602,CG1647
FBgn0032519,CG16957
FBgn0040571,CG17193
FBgn0031494,CG17219
FBgn0046225,CG17230
FBgn0031544,CG17593
FBgn0031194,CG17598
FBgn0031195,CG17600
FBgn0083978,CG17672
FBgn0263780,CG17684
FBgn0000633,CG17716
FBgn0034748,CG17807
FBgn0034552,CG17999
FBgn0037553,CG18249
FBgn0030956,CG18259
FBgn0028746,CG18508
FBgn0032551,CG18636
FBgn0042106,CG18754
FBgn0035388,CG2162
FBgn0039790,CG2246
FBgn0032864,CG2493
FBgn0029728,CG2861
FBgn0030170,CG2990
FBgn0050043,CG30043
FBgn0050047,CG30047
FBgn0050049,CG30049
FBgn0029720,CG3009
FBgn0050177,CG30177
FBgn0050285,CG30285
FBgn0050380,CG30380
