geneID,geneName
FBgn0031170,ABCA
FBgn0087035,AGO2
FBgn0086346,ALiX
FBgn0030343,ATP7
FBgn0016119,ATPsynCF6
FBgn0022710,Ac13E
FBgn0011559,Acp36DE
FBgn0263597,Acp98AB
FBgn0000667,Actn
FBgn0015008,Actn3
FBgn0029791,AdamTS-B
FBgn0035039,Adck1
FBgn0015011,AhcyL2
FBgn0035076,Ance-5
FBgn0028343,Ankle2
FBgn0015589,Apc
FBgn0031050,Arp10
FBgn0266429,AstA-R1
FBgn0030960,Atg101
FBgn0029907,Atx-1
FBgn0000152,Axs
FBgn0004854,B-H2
FBgn0050077,Blos1
FBgn0036105,Blos4
FBgn0030501,BthD
FBgn0265598,Bx
FBgn0030056,CAH3
FBgn0052698,CARPB
FBgn0259231,CCKLR-17D1
FBgn0030954,CCKLR-17D3
FBgn0039596,CG10000
FBgn0039094,CG10184
FBgn0039108,CG10232
FBgn0038394,CG10264
FBgn0030342,CG10347
FBgn0030349,CG10353
FBgn0030358,CG10362
FBgn0039109,CG10365
FBgn0038395,CG10407
FBgn0036277,CG10418
FBgn0034570,CG10543
FBgn0032817,CG10631
FBgn0039329,CG10669
FBgn0034296,CG10912
FBgn0030058,CG11294
FBgn0040364,CG11378
FBgn0040362,CG11379
FBgn0040363,CG11384
FBgn0031159,CG11566
FBgn0030543,CG11585
FBgn0035488,CG11593
FBgn0040351,CG11638
FBgn0031115,CG11710
FBgn0039299,CG11854
FBgn0028647,CG11902
FBgn0035257,CG12011
FBgn0039831,CG12054
FBgn0030065,CG12075
FBgn0031026,CG12231
FBgn0031048,CG12237
FBgn0039131,CG12268
FBgn0030676,CG12379
FBgn0030542,CG12481
FBgn0031064,CG12531
FBgn0029657,CG12535
FBgn0029701,CG12691
FBgn0031070,CG12702
FBgn0029816,CG12729
FBgn0033945,CG12868
FBgn0030881,CG12985
FBgn0030847,CG12991
FBgn0030846,CG12992
FBgn0030829,CG12998
FBgn0030807,CG13000
FBgn0030804,CG13002
FBgn0030798,CG13003
FBgn0030794,CG13005
FBgn0033792,CG13325
FBgn0033794,CG13326
FBgn0014417,CG13397
FBgn0035097,CG13405
FBgn0038929,CG13408
FBgn0038926,CG13409
FBgn0038961,CG13850
FBgn0038960,CG13855
FBgn0038959,CG13856
FBgn0030996,CG14194
FBgn0030998,CG14195
FBgn0031023,CG14200
FBgn0031045,CG14212
FBgn0031059,CG14229
FBgn0040608,CG14246
FBgn0032024,CG14273
FBgn0032023,CG14274
FBgn0038568,CG14315
FBgn0029851,CG14445
FBgn0031183,CG14621
FBgn0040360,CG14626
FBgn0040361,CG14627
FBgn0029552,CG14631
FBgn0023514,CG14805
FBgn0026089,CG14817
FBgn0026088,CG14818
FBgn0031169,CG1494
FBgn0038709,CG15025
FBgn0031157,CG1503
FBgn0031100,CG1504
FBgn0030918,CG15056
FBgn0030905,CG15059
FBgn0032669,CG15155
FBgn0030296,CG15196
FBgn0029681,CG15239
FBgn0030029,CG15343
FBgn0030889,CG15373
FBgn0029694,CG15375
FBgn0031155,CG15446
FBgn0031146,CG15449
FBgn0031130,CG15452
FBgn0040651,CG15458
FBgn0031108,CG15459
FBgn0040649,CG15461
FBgn0029746,CG15465
FBgn0039719,CG15515
FBgn0029702,CG15572
FBgn0030673,CG15601
FBgn0030654,CG15643
FBgn0030338,CG15741
FBgn0029814,CG15765
FBgn0030336,CG1578
FBgn0015336,CG15865
FBgn0029864,CG15894
FBgn0030704,CG15916
