geneID,geneName
FBgn0052016,4E-T
FBgn0086346,ALiX
FBgn0267408,AOX1
FBgn0038348,AOX2
FBgn0038349,AOX3
FBgn0034606,ASPP
FBgn0030343,ATP7
FBgn0259221,ATP8A
FBgn0016119,ATPsynCF6
FBgn0010217,ATPsynbeta
FBgn0020510,Abi
FBgn0036372,Abp1
FBgn0022710,Ac13E
FBgn0012034,AcCoAS
FBgn0263597,Acp98AB
FBgn0000032,Acph-1
FBgn0000042,Act5C
FBgn0024913,Actbeta
FBgn0000667,Actn
FBgn0035039,Adck1
FBgn0037679,Aduk
FBgn0015010,Ag5r
FBgn0020508,Ag5r2
FBgn0027094,AlaRS
FBgn0030122,Aladin
FBgn0031068,Alr
FBgn0030328,Amun
FBgn0028343,Ankle2
FBgn0020655,ArfGAP1
FBgn0011742,Arp2
FBgn0030877,Arp8
FBgn0266429,AstA-R1
FBgn0030960,Atg101
FBgn0031298,Atg4a
FBgn0038539,Atg8b
FBgn0000152,Axs
FBgn0004854,B-H2
FBgn0026149,BCL7-like
FBgn0030093,Bap111
FBgn0025463,Bap60
FBgn0040487,BobA
FBgn0039654,Brd8
FBgn0086694,Bre1
FBgn0030501,BthD
FBgn0003502,Btk29A
FBgn0265598,Bx
FBgn0034560,CAH15
FBgn0029962,CARPA
FBgn0052698,CARPB
FBgn0038199,CCHa1
FBgn0259231,CCKLR-17D1
FBgn0030954,CCKLR-17D3
FBgn0039088,CG10164
FBgn0039093,CG10183
FBgn0033985,CG10257
FBgn0038394,CG10264
FBgn0033990,CG10265
FBgn0034655,CG10307
FBgn0039109,CG10365
FBgn0038395,CG10407
FBgn0039326,CG10562
FBgn0030832,CG10597
FBgn0029664,CG10802
FBgn0029666,CG10803
FBgn0029663,CG10804
FBgn0030078,CG10970
FBgn0039929,CG11076
FBgn0039930,CG11077
FBgn0030408,CG11085
FBgn0039249,CG11168
FBgn0035537,CG11342
FBgn0039920,CG11360
FBgn0029951,CG11369
FBgn0034990,CG11406
FBgn0036264,CG11529
FBgn0031159,CG11566
FBgn0030543,CG11585
FBgn0036221,CG11588
FBgn0030551,CG11674
FBgn0030316,CG11695
FBgn0030314,CG11696
FBgn0039252,CG11771
FBgn0039266,CG11791
FBgn0028647,CG11902
FBgn0030052,CG12065
FBgn0030065,CG12075
FBgn0030053,CG12081
FBgn0030457,CG12096
FBgn0030048,CG12112
FBgn0031022,CG12204
FBgn0031026,CG12231
FBgn0029822,CG12236
FBgn0039131,CG12268
FBgn0030596,CG12398
FBgn0038202,CG12402
FBgn0031201,CG12446
FBgn0030542,CG12481
FBgn0031064,CG12531
FBgn0029657,CG12535
FBgn0029930,CG12541
FBgn0031190,CG12576
FBgn0035481,CG12605
FBgn0030952,CG12609
FBgn0030886,CG12672
FBgn0029707,CG12688
FBgn0029701,CG12691
FBgn0030721,CG12698
FBgn0030443,CG12715
FBgn0030459,CG12723
FBgn0037677,CG12951
FBgn0037065,CG12974
FBgn0030847,CG12991
FBgn0030846,CG12992
FBgn0030829,CG12998
FBgn0030804,CG13002
FBgn0030798,CG13003
FBgn0030797,CG13004
FBgn0030794,CG13005
FBgn0033693,CG13175
FBgn0032031,CG13390
FBgn0014417,CG13397
FBgn0032042,CG13398
FBgn0038926,CG13409
FBgn0036441,CG13476
FBgn0039203,CG13618
FBgn0039202,CG13622
FBgn0039224,CG13634
FBgn0035845,CG13675
FBgn0031900,CG13786
FBgn0030277,CG1394
FBgn0030981,CG14191
FBgn0030996,CG14194
FBgn0031002,CG14196
FBgn0031023,CG14200
FBgn0031032,CG14204
FBgn0031034,CG14205
FBgn0031045,CG14212
FBgn0031033,CG14219
FBgn0031042,CG14221
FBgn0031059,CG14229
FBgn0031062,CG14230
FBgn0031065,CG14234
FBgn0039479,CG14257
FBgn0029665,CG14270
FBgn0032024,CG14273
FBgn0032023,CG14274
FBgn0038632,CG14301
FBgn0038207,CG14356
FBgn0030595,CG14406
FBgn0030581,CG14408
FBgn0029646,CG14423
FBgn0031163,CG14579
FBgn0031184,CG14615
FBgn0031183,CG14621
FBgn0038246,CG14853
FBgn0030361,CG1492
FBgn0035410,CG14964
FBgn0035480,CG14984
FBgn0031157,CG1503
FBgn0029949,CG15035
FBgn0031100,CG1504
FBgn0030918,CG15056
FBgn0030905,CG15059
FBgn0032665,CG15152
FBgn0030161,CG15249
FBgn0030167,CG15252
FBgn0030029,CG15343
FBgn0030077,CG15365
FBgn0030104,CG15368
FBgn0030105,CG15369
FBgn0030889,CG15373
FBgn0031602,CG15431
FBgn0031155,CG15446
FBgn0040651,CG15458
FBgn0031108,CG15459
FBgn0029746,CG15465
FBgn0039719,CG15515
FBgn0039752,CG15530
FBgn0029702,CG15572
FBgn0030673,CG15601
FBgn0031644,CG15625
FBgn0031632,CG15628
FBgn0030654,CG15643
FBgn0030438,CG15721
FBgn0030409,CG15728
FBgn0030390,CG15731
FBgn0035084,CG15861
FBgn0015336,CG15865
FBgn0030576,CG15890
FBgn0029864,CG15894
FBgn0030700,CG15914
FBgn0030704,CG15916
FBgn0030389,CG15927
FBgn0031101,CG1631
FBgn0030027,CG1632
FBgn0030030,CG1636
FBgn0030481,CG1662
FBgn0039092,CG16723
FBgn0038719,CG16727
FBgn0039897,CG1674
FBgn0037678,CG16749
FBgn0029941,CG1677
FBgn0038881,CG16791
FBgn0031116,CG1695
FBgn0031098,CG17068
FBgn0039050,CG17110
FBgn0039045,CG17119
FBgn0032032,CG17294
FBgn0036393,CG17362
FBgn0036391,CG17364
FBgn0039167,CG17786
FBgn0032086,CG17906
FBgn0030163,CG1791
FBgn0029647,CG17959
FBgn0033566,CG18004
FBgn0039863,CG1815
FBgn0030956,CG18259
FBgn0031127,CG1835
FBgn0033888,CG18568
FBgn0040964,CG18661
FBgn0042132,CG18809
FBgn0030164,CG1889
FBgn0039911,CG1909
FBgn0039751,CG1983
FBgn0039886,CG2003
FBgn0039790,CG2246
FBgn0035204,CG2277
FBgn0030504,CG2691
FBgn0035082,CG2811
FBgn0003159,CG2841
FBgn0029728,CG2861
FBgn0029725,CG2871
FBgn0050020,CG30020
FBgn0031645,CG3036
FBgn0051016,CG31016
FBgn0051019,CG31019
FBgn0051036,CG31036
FBgn0051109,CG31109
FBgn0051145,CG31145
FBgn0051191,CG31191
FBgn0051195,CG31195
FBgn0051323,CG31323
FBgn0051337,CG31337
FBgn0051345,CG31345
FBgn0051659,CG31659
FBgn0051690,CG31690
FBgn0051785,CG31785
FBgn0052017,CG32017
FBgn0029885,CG3224
FBgn0052246,CG32246
FBgn0052262,CG32262
FBgn0052263,CG32263
FBgn0052264,CG32264
FBgn0260480,CG32295
FBgn0052436,CG32436
FBgn0285970,CG32500
FBgn0052512,CG32512
FBgn0052521,CG32521
FBgn0052532,CG32532
FBgn0052533,CG32533
FBgn0052537,CG32537
FBgn0052544,CG32544
FBgn0052547,CG32547
FBgn0052568,CG32568
FBgn0052591,CG32591
FBgn0052603,CG32603
FBgn0052640,CG32640
FBgn0052643,CG32643
FBgn0052650,CG32650
FBgn0267253,CG32700
FBgn0052713,CG32713
FBgn0052750,CG32750
FBgn0052751,CG32751
FBgn0052755,CG32755
FBgn0052815,CG32815
FBgn0052816,CG32816
FBgn0053125,CG33125
FBgn0053172,CG33172
FBgn0053181,CG33181
FBgn0030992,CG33253
FBgn0053483,CG33483
FBgn0053514,CG33514
FBgn0250819,CG33521
FBgn0034989,CG3356
FBgn0066303,CG33932
FBgn0053964,CG33964
FBgn0054002,CG34002
