transcript,geneID,geneName
FBtr0310657,FBgn0000667,Actn
FBtr0070706,FBgn0011760,ctp
FBtr0070872,FBgn0029843,Nep1
FBtr0073291,FBgn0035539,slow
FBtr0303294,FBgn0027601,pdgy
FBtr0074441,FBgn0024238,Fim
FBtr0333181,FBgn0000719,fog
FBtr0077352,FBgn0031191,Cp110
FBtr0303148,FBgn0004369,Ptp99A
FBtr0112753,FBgn0085478,Zdhhc8
FBtr0112755,FBgn0085478,Zdhhc8
FBtr0339824,FBgn0053181,CG33181
FBtr0331702,FBgn0039479,CG14257
FBtr0346129,FBgn0267001,Ten-a
FBtr0308309,FBgn0263257,Cngl
FBtr0333524,FBgn0259171,Pde9
FBtr0304906,FBgn0031118,RhoGAP19D
FBtr0082711,FBgn0004666,sim
