transcript,geneID,geneName
FBtr0310657,FBgn0000667,Actn
FBtr0070778,FBgn0029768,SPR
FBtr0310432,FBgn0086674,Tpst
FBtr0074441,FBgn0024238,Fim
FBtr0077241,FBgn0031145,Ntf-2
FBtr0083759,FBgn0038704,CG5316
FBtr0083760,FBgn0038704,CG5316
FBtr0445726,FBgn0038704,CG5316
FBtr0085769,FBgn0051005,qless
FBtr0345211,FBgn0051005,qless
FBtr0339825,FBgn0085354,FBgn0085354
FBtr0112753,FBgn0085478,Zdhhc8
FBtr0112755,FBgn0085478,Zdhhc8
FBtr0346129,FBgn0267001,Ten-a
FBtr0308309,FBgn0263257,Cngl
FBtr0074759,FBgn0031051,Ranbp21
FBtr0304906,FBgn0031118,RhoGAP19D
