geneID,geneName
FBgn0031170,ABCA
FBgn0030089,AP-1gamma
FBgn0030343,ATP7
FBgn0022710,Ac13E
FBgn0000667,Actn
FBgn0037679,Aduk
FBgn0015011,AhcyL2
FBgn0028343,Ankle2
FBgn0011742,Arp2
FBgn0266429,AstA-R1
FBgn0002921,Atpalpha
FBgn0029907,Atx-1
FBgn0000152,Axs
FBgn0026149,BCL7-like
FBgn0011785,BRWD3
FBgn0265598,Bx
FBgn0259228,C3G
FBgn0052698,CARPB
FBgn0259231,CCKLR-17D1
FBgn0039088,CG10164
FBgn0032783,CG10237
FBgn0039109,CG10365
FBgn0035656,CG10479
FBgn0039249,CG11168
FBgn0031139,CG11227
FBgn0031835,CG11319
FBgn0031115,CG11710
FBgn0030065,CG12075
FBgn0030542,CG12481
FBgn0031064,CG12531
FBgn0031190,CG12576
FBgn0030952,CG12609
FBgn0030829,CG12998
FBgn0030798,CG13003
FBgn0030769,CG13012
FBgn0026874,CG13358
FBgn0025616,CG13359
FBgn0039288,CG13653
FBgn0030981,CG14191
FBgn0030996,CG14194
FBgn0031023,CG14200
FBgn0031034,CG14205
FBgn0039479,CG14257
FBgn0029922,CG14431
FBgn0023513,CG14803
FBgn0031100,CG1504
FBgn0030905,CG15059
FBgn0032665,CG15152
FBgn0030296,CG15196
FBgn0031088,CG15322
FBgn0030077,CG15365
FBgn0031161,CG15445
FBgn0029746,CG15465
FBgn0030673,CG15601
FBgn0030438,CG15721
FBgn0015336,CG15865
FBgn0030576,CG15890
FBgn0030218,CG1628
FBgn0029941,CG1677
FBgn0031116,CG1695
FBgn0039485,CG17189
FBgn0031164,CG1724
FBgn0031195,CG17600
FBgn0032668,CG17681
FBgn0003159,CG2841
FBgn0051176,CG31176
FBgn0051323,CG31323
FBgn0051342,CG31342
FBgn0052055,CG32055
FBgn0052264,CG32264
FBgn0052521,CG32521
FBgn0052532,CG32532
FBgn0052536,CG32536
FBgn0052537,CG32537
FBgn0052573,CG32573
FBgn0260482,CG32599
FBgn0052645,CG32645
FBgn0052650,CG32650
FBgn0267253,CG32700
FBgn0052772,CG32772
FBgn0052815,CG32815
FBgn0053110,CG33110
FBgn0053172,CG33172
FBgn0053181,CG33181
FBgn0030992,CG33253
FBgn0039510,CG3339
FBgn0054026,CG34026
FBgn0054028,CG34028
FBgn0083956,CG34120
FBgn0083986,CG34150
FBgn0085360,CG34331
FBgn0085479,CG34450
FBgn0035065,CG3589
FBgn0040346,CG3704
FBgn0029853,CG3781
FBgn0259198,CG42302
FBgn0259677,CG42346
FBgn0259736,CG42390
FBgn0260238,CG42512
FBgn0260971,CG42594
FBgn0261804,CG42750
FBgn0030747,CG4301
FBgn0262487,CG43077
FBgn0262534,CG43088
FBgn0025632,CG4313
FBgn0262608,CG43134
FBgn0030456,CG4332
FBgn0263216,CG43386
FBgn0263706,CG43658
FBgn0264090,CG43759
FBgn0264449,CG43867
FBgn0265413,CG44325
FBgn0265595,CG44422
FBgn0265629,CG44437
FBgn0265669,CG44476
FBgn0265725,CG44532
FBgn0266354,CG45002
FBgn0266647,CG45154
FBgn0029932,CG4607
FBgn0029839,CG4660
FBgn0029838,CG4666
FBgn0069913,CG4681
FBgn0027556,CG4928
FBgn0260748,CG5004
FBgn0030575,CG5321
FBgn0030838,CG5445
FBgn0039490,CG5882
FBgn0038924,CG6028
FBgn0030914,CG6106
FBgn0030913,CG6123
FBgn0035914,CG6282
FBgn0035896,CG6983
FBgn0039027,CG7031
FBgn0030961,CG7058
FBgn0030968,CG7322
FBgn0030976,CG7378
FBgn0030087,CG7766
FBgn0037584,CG7963
FBgn0031004,CG7992
FBgn0031010,CG8028
FBgn0031012,CG8051
FBgn0030841,CG8568
FBgn0030833,CG8915
FBgn0030634,CG9164
FBgn0030569,CG9411
FBgn0031089,CG9572
FBgn0029939,CG9650
FBgn0030768,CG9723
FBgn0267741,CR46072
FBgn0264386,Ca-alpha1T
FBgn0261053,Cad86C
FBgn0022800,Cad96Ca
FBgn0052183,Ccn
FBgn0263257,Cngl
FBgn0052649,Coq8
FBgn0025865,Cortactin
FBgn0031191,Cp110
FBgn0039480,Cpr97Ea
FBgn0035205,Ctr9
FBgn0010383,Cyp18a1
FBgn0030949,Cyp308a1
FBgn0052791,DIP-alpha
FBgn0259245,DIP-beta
FBgn0024807,DIP1
FBgn0053531,Ddr
FBgn0053517,Dop2R
FBgn0031052,Elys
FBgn0030597,Eo
FBgn0039225,Ets96B
FBgn0005659,Ets98B
FBtr0309649_df_nrg,FBtr0309649_df_nrg
FBgn0024238,Fim
FBgn0264078,Flo2
FBgn0004598,Fur2
FBgn0001105,Gbeta13F
FBgn0030932,Ggt-1
FBgn0045502,Gr10a
FBgn0030685,Graf
FBgn0026430,Grip84
FBgn0041210,HDAC4
FBgn0031107,HERC2
FBgn0283680,IP3K2
FBgn0027291,Idh3a
FBgn0030989,Inx5
FBgn0027106,Inx7
FBgn0259188,Ir7f
FBgn0029968,Ir7g
FBgn0002578,Kaz-m1
FBgn0004379,Klp67A
FBgn0030993,Mec2
FBgn0030999,Mur18B
FBgn0267431,Myo81F
FBgn0029843,Nep1
