geneID,geneName
FBgn0038349,AOX3
FBgn0020655,ArfGAP1
FBgn0266429,AstA-R1
FBgn0028550,Atf3
FBgn0034366,Atg7
FBgn0029848,Btnd
FBgn0033504,CAP
FBgn0039321,CG10550
FBgn0029663,CG10804
FBgn0036342,CG11279
FBgn0035537,CG11342
FBgn0040351,CG11638
FBgn0031638,CG11927
FBgn0043796,CG12219
FBgn0035360,CG1246
FBgn0032609,CG13280
FBgn0033794,CG13326
FBgn0025633,CG13366
FBgn0031023,CG14200
FBgn0031032,CG14204
FBgn0037964,CG14731
FBgn0033236,CG14764
FBgn0038246,CG14853
FBgn0035410,CG14964
FBgn0030167,CG15252
FBgn0029986,CG15332
FBgn0031440,CG15395
FBgn0040571,CG17193
FBgn0083978,CG17672
FBgn0000633,CG17716
FBgn0039790,CG2246
FBgn0030170,CG2990
FBgn0050484,CG30484
FBgn0051016,CG31016
FBgn0051021,CG31021
FBgn0051323,CG31323
FBgn0052104,CG32104
FBgn0052532,CG32532
FBgn0052719,CG32719
FBgn0038878,CG3301
FBgn0083942,CG34106
FBgn0085383,CG34354
FBgn0085446,CG34417
FBgn0029863,CG3823
FBgn0039955,CG41099
FBgn0259163,CG42268
FBgn0259200,CG42304
FBgn0260222,CG42496
FBgn0260658,CG42541
FBgn0263005,CG43313
FBgn0263216,CG43386
FBgn0263706,CG43658
FBgn0263993,CG43736
FBgn0039078,CG4374
FBgn0264488,CG43896
FBgn0266100,CG44837
FBgn0266354,CG45002
FBgn0266434,CG45064
FBgn0266435,CG45065
FBgn0028863,CG4587
FBgn0284236,CG46320
FBgn0039347,CG5071
FBgn0036784,CG5103
FBgn0032587,CG5953
FBgn0036202,CG6024
FBgn0039449,CG6425
FBgn0032369,CG6614
FBgn0036240,CG6928
FBgn0036235,CG6938
FBgn0031765,CG9109
FBgn0038365,CG9593
FBgn0030763,CG9782
FBgn0264386,Ca-alpha1T
FBgn0037963,Cad87A
FBgn0287478,Camta
FBgn0005775,Con
FBgn0033725,Cpr49Ac
FBgn0031182,Cyp6t1
FBgn0051646,DIP-theta
FBgn0267972,Der-1
FBgn0029849,Efr
FBgn0000594,Est-P
FBgn0016013,Faa
FBgn0000644,Fcp3C
FBgn0264078,Flo2
FBgn0004509,Fur1
FBgn0033799,GLaz
FBgn0033316,Gle1
FBgn0041210,HDAC4
FBgn0027291,Idh3a
FBgn0029843,Nep1
FBgn0026401,Nipped-B
FBgn0039348,Npl4
FBgn0032123,Oatp30B
FBgn0051017,PH4alphaNE3
FBgn0027621,Pfrx
FBgn0036239,Pop2
FBgn0050290,Ppcdc
FBgn0027082,ProRS-m
FBgn0028341,Ptpmeg2
FBgn0262867,Ptr
FBgn0020620,RN-tre
FBgn0004842,RYa-R
FBgn0032439,Ref2
FBgn0031118,RhoGAP19D
FBgn0038853,RhoGAP93B
FBgn0050085,Rif1
FBgn0003319,Sb
FBgn0259199,Snup
FBgn0086532,Spt-I
FBgn0262733,Src64B
FBgn0035627,Sse
FBgn0033876,Syngr
FBgn0051721,Trim9
FBgn0039530,Tusp
FBgn0260970,Ubr3
FBgn0266709,Zmynd10
FBgn0263590,asRNA:CR43615
FBgn0266635,asRNA:CR45142
FBgn0011300,babo
FBgn0265607,beat-IIIa
FBgn0250908,beat-VII
FBgn0038084,beat-Vc
FBgn0266756,btsz
FBgn0259685,crb
FBgn0285955,cv-c
FBgn0000479,dnc
FBgn0053516,dpr3
FBgn0052600,dpr8
FBgn0000542,ec
FBgn0263934,esn
FBgn0262111,f
FBgn0005390,fs(1)M3
FBgn0027342,fz4
FBgn0029977,hdm
FBgn0264491,how
FBgn0028371,jbug
FBgn0031016,kek5
FBgn0026713,l(1)G0007
FBgn0027279,l(1)G0196
FBgn0052111,lncRNA:CR32111
FBgn0261814,lncRNA:CR42756
FBgn0263648,lncRNA:CR43639
FBgn0264428,lncRNA:CR43846
FBgn0265067,lncRNA:CR44178
FBgn0265457,lncRNA:CR44357
FBgn0266043,lncRNA:CR44808
FBgn0266348,lncRNA:CR44997
FBgn0266350,lncRNA:CR44999
FBgn0266457,lncRNA:CR45082
FBgn0266650,lncRNA:CR45157
FBgn0267112,lncRNA:CR45552
FBgn0267113,lncRNA:CR45553
FBgn0267131,lncRNA:CR45571
FBgn0267748,lncRNA:CR46079
FBgn0261279,lqfR
FBgn0002643,mam
FBgn0267033,mamo
FBgn0004797,mdy
FBgn0000036,nAChRalpha1
FBgn0263968,nonC
FBgn0004102,oc
FBgn0003016,osp
FBgn0285944,para
FBgn0039431,plum
FBgn0261261,plx
FBgn0260499,qvr
FBgn0041096,rols
FBgn0261873,sdt
FBgn0013733,shot
FBgn0016061,side
FBgn0085447,sif
FBgn0029976,snz
FBgn0003475,spir
FBgn0261041,stj
FBgn0020299,stumps
FBgn0003638,su(w[a])
FBgn0052088,sunn
FBgn0003651,svp
FBgn0052506,tbc
FBgn0036263,thoc6
FBgn0082582,tmod
FBgn0261563,wb
FBgn0051151,wge
